RA (deg),DE (deg),RUWE,JmagUKIRT,e_JmagUKIRT,HmagUKIRT,e_HmagUKIRT,KmagUKIRT,e_KmagUKIRT,JmagVHS,e_JmagVHS,KsmagVHS,e_KsmagVHS,IRAC1,e_IRAC1,dIRAC1,IRAC2,e_IRAC2,dIRAC2,l_IRAC3,IRAC3,e_IRAC3,dIRAC3,l_IRAC4,IRAC4,e_IRAC4,dIRAC4,l_MIPS24,MIPS24,e_MIPS24,JU,KU,J-K
296.212,-14.748,1.092,16.811,0.021,16.128,0.016,16.012,0.019,16.963,0.026,15.998,0.047,15.93,0.04,0.04,15.94,0.06,0.11, ,15.94,0.05,-0.19, ,15.8,0.12,0.01,>,12.17,0,16.611,15.942,0.669
296.213,-14.732,1.054,13.392,0.003,12.801,0.002,12.516,0.002,13.56,0.002,12.468,0.002,12.38,0.06,-0.04,12.11,0.07,-0.02, ,11.74,0.05,0.06, ,11.14,0.03,0.05, ,9.14,0.01,13.192,12.446,0.746
296.213,-14.953,1.061,15.72,0.01,15.023,0.007,14.847,0.008,15.888,0.01,14.861,0.016,14.72,0.04,-0.02,14.88,0.1,0.02, ,14.64,0.04,0.03, ,15.42,0.16,0.2, ,12.01,0.26,15.52,14.777,0.743
296.214,-14.844,1.181,15.755,0.01,15.003,0.007,14.848,0.008,15.91,0.01,14.85,0.016,14.66,0.06,0.09,14.71,0.06,0.12, ,14.77,0.06,0.11, ,14.63,0.05,0.17,>,11.94,0,15.555,14.778,0.777
296.214,-14.926,1.078,16.094,0.013,15.402,0.009,15.156,0.01,16.236,0.013,15.22,0.022,14.74,0.05,-0.09,14.84,0.06,-0.07, ,14.67,0.03,-0.19, ,14.34,0.08,-0.33,>,12.26,0,15.894,15.086,0.808
296.214,-14.874,1.057,15.754,0.01,14.986,0.007,14.776,0.008,15.891,0.01,14.787,0.015,14.58,0.05,-0.05,14.67,0.07,-0.04, ,14.53,0.05,-0.2, ,14.69,0.15,0.23, ,10.68,0.1,15.554,14.706,0.848
296.214,-14.705,1.039,17.807,0.043,17.201,0.03,17.02,0.038,17.873,0.059,17.311,0.154,16.97,0.08,0.06,16.9,0.05,-0.17, ,16.59,0.18,-0.38,>,16.64,0,0,>,11.3,0,17.607,16.95,0.657
296.215,-14.742,0.996,15.169,0.007,14.448,0.005,14.279,0.006,15.332,0.006,14.265,0.01,14.22,0.05,-0.03,14.26,0.05,-0.05, ,14.18,0.06,-0.05, ,14.19,0.03,0.01,>,12.79,0,14.969,14.209,0.76
296.215,-14.825,1.038,16.96,0.024,16.366,0.02,16.247,0.023,17.107,0.029,16.241,0.056,15.98,0.04,0.08,16.12,0.04,0.1, ,15.8,0.08,-0.14, ,15.91,0.09,0.09,>,12.44,0,16.76,16.177,0.583
296.215,-14.816,1.048,15.636,0.01,14.842,0.006,14.652,0.007,15.814,0.009,14.673,0.014,14.53,0.04,-0.02,14.63,0.05,-0.02, ,14.48,0.05,-0.03, ,14.51,0.04,-0.01,>,12.34,0,15.436,14.582,0.854
296.216,-14.771,0.906,16.715,0.02,16.012,0.015,15.902,0.017,16.846,0.023,15.941,0.043,15.73,0.06,-0.08,15.9,0.04,-0.09, ,15.57,0.06,-0.33, ,15.2,0.09,0,>,13.88,0,16.515,15.832,0.683
296.216,-14.931,1.009,17.33,0.031,16.726,0.026,16.571,0.03,17.389,0.037,16.562,0.074,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,17.13,16.501,0.629
296.216,-14.725,1.097,      ,      ,      ,      ,      ,      ,17.557,0.044,16.785,0.095,16.47,0.03,0.06,16.44,0.04,0.06, ,16.23,0.1,0, ,15.49,0.1,0.33, ,9.4,0.06,,,
296.217,-14.757,1.078,16.292,0.015,15.666,0.011,15.53,0.013,16.473,0.017,15.478,0.029,15.32,0.07,-0.03,15.47,0.08,0.02, ,15.12,0.05,-0.32, ,14.93,0.04,0.21,>,12.39,0,16.092,15.46,0.632
296.218,-14.889,1.106,17.686,0.041,17.128,0.037,16.875,0.038,17.713,0.05,16.777,0.091,16.7,0.04,-0.13,16.85,0.06,-0.23, ,16.68,0.16,0, ,16.1,0.13,-0.02, ,11.35,0.15,17.486,16.805,0.681
296.218,-14.765,1.129,17.311,0.031,16.684,0.026,16.629,0.031,17.51,0.042,16.569,0.078,16.35,0.03,-0.09,16.41,0.05,-0.1, ,16.55,0.15,-0.32, ,15.93,0.1,0,>,11.87,0,17.111,16.559,0.552
296.22,-14.716,1.062,16.83,0.02,16.05,0.012,15.928,0.016,16.893,0.024,15.936,0.044,15.75,0.04,0.03,15.81,0.06,0.17, ,15.08,0.06,-0.36, ,13.94,0.1,0, ,6.79,0.03,16.63,15.858,0.772
296.221,-14.885,0.981,15.913,0.011,15.267,0.008,15.126,0.01,16.068,0.012,15.153,0.021,14.97,0.03,0.01,15.18,0.06,0.09, ,14.92,0.05,0.15, ,15.11,0.12,0.25,>,12.15,0,15.713,15.056,0.657
296.221,-14.784,0.995,16.772,0.021,16.14,0.017,15.946,0.018,16.968,0.026,15.983,0.044,15.73,0.03,-0.2,15.88,0.04,-0.14, ,15.82,0.05,-0.37, ,15.85,0.12,-0.35,>,13.28,0,16.572,15.876,0.696
296.221,-14.791,0.98,17.022,0.025,16.313,0.019,16.249,0.023,17.11,0.029,16.232,0.055,15.9,0.06,0,16.07,0.06,0, ,16.07,0.11,0.05, ,15.47,0.07,0,>,12.38,0,16.822,16.179,0.643
296.222,-14.902,1.004,16.216,0.014,15.479,0.01,15.363,0.011,16.363,0.015,15.384,0.026,15.19,0.04,-0.07,15.32,0.04,-0.04, ,15.26,0.05,-0.01, ,15,0.08,-0.26,>,12.59,0,16.016,15.293,0.723
296.222,-14.867,1.079,17.063,0.025,16.379,0.02,16.233,0.022,17.25,0.033,16.296,0.058,16.16,0.04,0.39,16.17,0.05,0.47, ,15.9,0.1,0.19, ,15.97,0.18,0, ,12.17,0.25,16.863,16.163,0.7
296.222,-14.849,1.056,16.218,0.014,15.519,0.01,15.368,0.012,16.332,0.015,15.406,0.026,15.18,0.03,-0.06,15.26,0.04,-0.07, ,15.1,0.06,-0.01, ,15.72,0.13,0.78,>,12.31,0,16.018,15.298,0.72
296.222,-14.757,1.083,15.011,0.007,14.278,0.004,14.079,0.005,15.091,0.005,14.015,0.008,13.92,0.07,-0.03,14.03,0.03,-0.01, ,13.79,0.05,-0.09, ,13.82,0.04,0.09, ,11.36,0.17,14.811,14.009,0.802
296.223,-14.765,0.971,14.893,0.006,14.189,0.004,14.009,0.005,15.015,0.005,13.963,0.008,13.89,0.04,0,13.89,0.09,-0.08, ,13.76,0.05,0.07, ,13.5,0.06,0.46, ,9.19,0.03,14.693,13.939,0.754
296.223,-14.761,1.181,15.784,0.01,15.049,0.007,14.911,0.008,15.938,0.011,14.859,0.017,14.79,0.07,0,14.89,0.03,-0.05, ,14.61,0.04,-0.19, ,14.65,0.05,-0.11,>,11.9,0,15.584,14.841,0.743
296.224,-14.772,1.105,15.078,0.007,14.276,0.004,14.063,0.005,15.24,0.006,14.038,0.008,13.95,0.03,-0.03,14.04,0.07,-0.04, ,13.95,0.03,-0.08, ,13.9,0.06,-0.07,>,12.8,0,14.878,13.993,0.885
296.224,-14.88,1.074,15.893,0.011,15.196,0.008,15.075,0.009,16.053,0.012,15.086,0.02,15,0.04,-0.02,15.05,0.03,-0.06, ,14.99,0.06,-0.31, ,15.19,0.06,-0.55,>,12.15,0,15.693,15.005,0.688
296.224,-14.737,1.163,      ,      ,      ,      ,      ,      ,15.881,0.01,14.893,0.017,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,,,
296.224,-14.891,0.916,14.728,0.006,14.015,0.004,13.864,0.004,14.864,0.004,13.842,0.007,13.7,0.05,0.01,14.01,0.04,0.19, ,13.67,0.03,-0.02, ,13.73,0.05,0.1,>,13.03,0,14.528,13.794,0.734
296.225,-14.74,1.007,      ,      ,      ,      ,      ,      ,14.699,0.004,13.671,0.006,13.47,0.06,0.07,13.56,0.04,0.14, ,13.26,0.06,0, ,13.38,0.03,0.08,>,11.78,0,,,
296.225,-14.88,0.975,15.939,0.011,15.234,0.008,15.083,0.009,16.065,0.012,15.07,0.019,14.91,0.05,-0.07,15.03,0.04,-0.09, ,14.85,0.06,-0.38, ,14.74,0.04,-0.26,>,12.52,0,15.739,15.013,0.726
296.226,-14.884,1.018,15.069,0.007,14.34,0.005,14.179,0.005,15.23,0.006,14.179,0.009,14,0.05,-0.03,14.06,0.05,-0.06, ,14.22,0.14,0.19, ,14.13,0.04,0.05,>,12.42,0,14.869,14.109,0.76
296.226,-14.728,0.995,15.439,0.008,14.745,0.006,14.619,0.007,      ,      ,      ,      ,14.58,0.06,0.09,14.73,0.03,0.09, ,14.41,0.03,0.1, ,14.47,0.07,0.16,>,12.22,0,15.239,14.549,0.69
296.227,-14.802,1.079,14.258,0.004,13.555,0.003,13.268,0.003,14.369,0.003,13.3,0.004,13.3,0.06,-0.05,13.09,0.05,-0.02, ,12.76,0.03,-0.07, ,12.48,0.04,-0.03, ,10.82,0.12,14.058,13.198,0.86
296.227,-14.858,0.977,13.257,0.003,12.544,0.002,12.352,0.002,13.403,0.002,12.36,0.002,13.59,0.13,1.07,12.3,0.04,-0.02, ,12.05,0.05,-0.01, ,11.87,0.03,0.05, ,11.05,0.12,13.057,12.282,0.775
296.228,-14.88,0.981,15.105,0.007,14.391,0.005,14.237,0.005,15.25,0.006,14.24,0.009,14.11,0.07,-0.03,14.22,0.04,0, ,14.08,0.03,-0.11, ,14.13,0.03,-0.05,>,11.8,0,14.905,14.167,0.738
296.228,-14.73,1.072,13.705,0.003,12.986,0.002,12.735,0.002,13.851,0.002,12.678,0.003,12.64,0.07,-0.01,12.35,0.03,-0.08, ,12.07,0.02,-0.01, ,11.65,0.04,0.09, ,10.09,0.03,13.505,12.665,0.84
296.229,-14.849,1.147,16.084,0.013,15.279,0.008,15.058,0.009,16.224,0.013,15.077,0.02,14.92,0.06,0.05,15.02,0.09,0, ,14.78,0.04,-0.1, ,14.97,0.1,0.29,>,12.16,0,15.884,14.988,0.896
296.229,-14.871,1.127,15.08,0.007,14.361,0.005,14.191,0.005,15.282,0.006,14.241,0.009,14.09,0.04,0.3,14.2,0.07,0.32, ,14.04,0.05,0.27, ,14.01,0.03,0.36, ,11.54,0.16,14.88,14.121,0.759
296.229,-14.769,1.111,16.035,0.012,15.319,0.009,15.169,0.01,16.19,0.013,15.144,0.021,15.08,0.07,-0.03,15.16,0.05,0, ,14.99,0.05,-0.3, ,14.81,0.05,-0.18,>,12.42,0,15.835,15.099,0.736
296.23,-14.787,1.018,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,,,
296.23,-14.729,1.113,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,14.59,0.07,0.24,14.47,0.08,0.21, ,14.65,0.07,0.36, ,14.71,0.06,0.26,>,11.74,0,,,
296.231,-14.875,1.002,15.913,0.011,15.279,0.008,15.127,0.01,16.092,0.012,15.174,0.021,14.97,0.07,-0.04,15.08,0.05,-0.05, ,15.08,0.04,-0.07, ,15.05,0.1,-0.19,>,12.43,0,15.713,15.057,0.656
296.231,-14.842,1.052,16.984,0.024,16.426,0.021,16.285,0.023,17.134,0.03,16.325,0.06,15.95,0.06,0.39,16.15,0.07,0.36, ,15.28,0.06,0.29, ,13.94,0.09,0.5, ,9.88,0.1,16.784,16.215,0.569
