_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),JmagUKIRT(mag),e_JmagUKIRT(mag),HmagUKIRT(mag),e_HmagUKIRT(mag),KmagUKIRT(mag),e_KmagUKIRT(mag)
295.90414389,-14.78019389,295.904144,-14.780194,18.696,0.106,18.18,0.088,18.142,0.106
295.90414389,-14.81948306,295.904144,-14.819483,15.73,0.011,15.312,0.008,15.215,0.01
295.904175,-14.520705,295.904175,-14.520705,16.482,0.016,15.852,0.011,15.726,0.013
295.904175,-14.54056694,295.904175,-14.540567,19.205,0.147,18.971,0.141,19.143,0.222
295.904175,-15.06124806,295.904175,-15.061248,13.334,0.003,12.966,0.002,12.891,0.003
295.904175,-15.09689389,295.904175,-15.096894,18.05,0.052,17.87,0.072,17.975,0.1
295.904205,-14.73751194,295.904205,-14.737512,14.773,0.006,14.33,0.004,14.255,0.005
295.904205,-14.77081389,295.904205,-14.770814,12.816,0.002,12.571,0.002,12.517,0.002
295.904205,-14.80757,295.904205,-14.80757,16.683,0.021,16.078,0.015,15.849,0.016
295.90423611,-14.56418306,295.904236,-14.564183,19.326,0.163,18.799,0.122,18.631,0.145
295.90435806,-14.65650611,295.904358,-14.656506,15.945,0.012,15.598,0.009,15.566,0.012
295.90438806,-14.86654806,295.904388,-14.866548,18.757,0.111,18.835,0.154,18.46,0.137
295.90441889,-14.567475,295.904419,-14.567475,18.971,0.121,18.454,0.091,18.124,0.095
295.90441889,-14.66468611,295.904419,-14.664686,17.813,0.047,17.201,0.031,16.92,0.034
295.90444889,-14.98304389,295.904449,-14.983044,19.453,0.169,18.794,0.162,17.624,0.075
295.90454111,-14.66281306,295.904541,-14.662813,15.484,0.009,14.987,0.006,14.894,0.007
295.90454111,-15.03920611,295.904541,-15.039206,19.19,0.135,18.716,0.15,18.48,0.156
295.90457194,-14.88903889,295.904572,-14.889039,15.371,0.009,15.048,0.007,15.013,0.009
295.90460194,-14.51149694,295.904602,-14.511497,17.42,0.033,17.0,0.026,16.926,0.034
295.90460194,-14.817675,295.904602,-14.817675,18.19,0.069,17.659,0.056,17.403,0.057
295.90460194,-14.869925,295.904602,-14.869925,17.794,0.05,17.392,0.045,17.222,0.048
295.90460194,-15.11957306,295.904602,-15.119573,18.857,0.101,18.223,0.099,17.968,0.1
295.90463306,-14.654675,295.904633,-14.654675,17.642,0.041,17.027,0.027,16.684,0.028
295.90469389,-14.84113889,295.904694,-14.841139,19.119,0.15,18.326,0.1,18.344,0.124
295.90469389,-15.00875,295.904694,-15.00875,17.362,0.03,16.804,0.029,16.558,0.031
295.904755,-14.542875,295.904755,-14.542875,18.172,0.062,17.712,0.048,17.612,0.061
295.904755,-14.62453111,295.904755,-14.624531,17.753,0.044,17.09,0.029,16.792,0.031
295.904755,-15.03740306,295.904755,-15.037403,19.35,0.154,18.571,0.132,18.412,0.147
295.90484611,-14.62580611,295.904846,-14.625806,17.172,0.028,16.763,0.022,16.639,0.027
295.90496806,-14.70204694,295.904968,-14.702047,18.762,0.103,18.419,0.089,18.661,0.15
295.90502889,-14.51411611,295.905029,-14.514116,19.307,0.159,18.817,0.124,18.468,0.126
295.90506,-14.59201889,295.90506,-14.592019,18.273,0.068,17.817,0.053,17.799,0.072
295.90509,-14.98063,295.90509,-14.98063,13.244,0.003,12.867,0.002,12.784,0.003
295.90512111,-14.8343,295.905121,-14.8343,17.049,0.028,16.497,0.021,16.19,0.021
295.90512111,-15.01714694,295.905121,-15.017147,18.183,0.059,17.661,0.061,17.325,0.059
295.90515111,-14.492705,295.905151,-14.492705,17.182,0.027,16.734,0.02,16.621,0.026
295.90518194,-15.05955,295.905182,-15.05955,17.539,0.035,17.166,0.039,17.069,0.046
295.90521194,-14.90448611,295.905212,-14.904486,11.773,0.001,11.612,0.001,11.559,0.001
295.90521194,-15.026835,295.905212,-15.026835,16.757,0.019,16.248,0.018,16.163,0.022
295.90533389,-14.59,295.905334,-14.59,19.049,0.13,18.212,0.074,18.236,0.104
295.905365,-14.60030806,295.905365,-14.600308,16.794,0.021,16.459,0.017,16.451,0.023
295.90539611,-14.90175,295.905396,-14.90175,18.243,0.072,17.671,0.057,17.41,0.057
295.90539611,-14.956255,295.905396,-14.956255,16.338,0.014,15.911,0.014,15.767,0.017
295.90542611,-15.05355306,295.905426,-15.053553,18.495,0.075,18.058,0.085,17.889,0.094
295.90545694,-14.57718389,295.905457,-14.577184,13.612,0.003,13.324,0.002,13.289,0.003
295.90551806,-14.89798389,295.905518,-14.897984,14.565,0.006,14.139,0.004,14.075,0.005
295.90551806,-14.99122806,295.905518,-14.991228,18.32,0.066,17.837,0.071,17.617,0.075
295.90551806,-15.01969389,295.905518,-15.019694,19.048,0.12,18.435,0.118,18.245,0.128
295.90554806,-14.65688889,295.905548,-14.656889,16.892,0.023,16.555,0.019,16.505,0.024
295.90554806,-14.96584389,295.905548,-14.965844,18.367,0.068,18.038,0.088,18.032,0.107
295.90557889,-14.621525,295.905579,-14.621525,17.18,0.028,16.51,0.018,16.348,0.022
295.90557889,-15.10006111,295.905579,-15.100061,19.027,0.117,18.881,0.172,18.486,0.155
295.90564,-15.06263389,295.90564,-15.062634,17.915,0.047,17.383,0.047,17.37,0.06
295.90576194,-14.92673389,295.905762,-14.926734,17.42,0.037,16.881,0.029,16.878,0.036
295.90579194,-14.88512806,295.905792,-14.885128,16.185,0.015,15.912,0.013,15.862,0.016
295.90579194,-15.10101694,295.905792,-15.101017,17.949,0.048,17.7,0.062,17.472,0.065
295.90582306,-14.50573889,295.905823,-14.505739,18.653,0.092,18.332,0.082,17.997,0.084
295.90591389,-14.75380306,295.905914,-14.753803,17.855,0.053,17.334,0.043,17.222,0.049
295.90591389,-15.132845,295.905914,-15.132845,18.852,0.101,18.32,0.107,18.253,0.127
295.90600611,-14.52174194,295.906006,-14.521742,18.304,0.069,17.651,0.046,17.493,0.055
295.90600611,-14.53001389,295.906006,-14.530014,18.312,0.069,17.824,0.053,17.744,0.068
295.90600611,-14.59054889,295.906006,-14.590549,18.598,0.089,18.444,0.091,18.168,0.098
295.90600611,-14.96290806,295.906006,-14.962908,16.382,0.015,16.007,0.015,15.98,0.019
295.90600611,-15.06475306,295.906006,-15.064753,15.525,0.009,15.052,0.007,14.979,0.009
295.90609694,-14.50417194,295.906097,-14.504172,19.228,0.149,18.936,0.137,18.415,0.121
295.90609694,-14.86092611,295.906097,-14.860926,18.95,0.13,18.444,0.11,18.512,0.143
295.90612806,-14.59584389,295.906128,-14.595844,19.096,0.135,18.352,0.084,18.277,0.108
295.90612806,-14.81607806,295.906128,-14.816078,17.616,0.043,16.94,0.03,16.715,0.032
295.90612806,-14.99735111,295.906128,-14.997351,17.985,0.05,17.538,0.055,17.352,0.06
295.90615806,-14.695725,295.906158,-14.695725,19.463,0.185,18.962,0.142,18.302,0.111
295.90615806,-14.72680194,295.906158,-14.726802,18.815,0.117,18.191,0.092,18.374,0.13
295.90615806,-15.12523111,295.906158,-15.125231,18.505,0.076,18.448,0.12,18.389,0.143
295.90618889,-14.83949389,295.906189,-14.839494,17.463,0.038,16.936,0.03,16.674,0.03
295.90621889,-14.54477306,295.906219,-14.544773,18.685,0.095,18.231,0.075,17.944,0.081
295.90621889,-15.07919111,295.906219,-15.079191,16.326,0.014,16.081,0.016,16.065,0.02
295.90625,-14.55389194,295.90625,-14.553892,18.072,0.057,17.37,0.036,17.17,0.042
295.90625,-14.69321389,295.90625,-14.693214,15.745,0.01,15.314,0.007,15.226,0.009
295.90628111,-14.57079111,295.906281,-14.570791,17.179,0.028,16.581,0.019,16.35,0.021
295.90628111,-14.611995,295.906281,-14.611995,16.214,0.014,15.719,0.01,15.658,0.013
295.90634194,-14.75082806,295.906342,-14.750828,18.394,0.082,17.882,0.07,17.674,0.071
295.90640306,-14.62135306,295.906403,-14.621353,17.689,0.042,17.343,0.035,17.243,0.045
295.90643306,-14.70804111,295.906433,-14.708041,18.175,0.063,17.61,0.045,17.372,0.05
295.90646389,-14.51024694,295.906464,-14.510247,16.625,0.018,16.2,0.014,16.163,0.018
295.90646389,-14.59179389,295.906464,-14.591794,17.637,0.04,17.17,0.031,17.182,0.043
295.90646389,-14.91099194,295.906464,-14.910992,16.729,0.022,16.398,0.019,16.395,0.024
295.90649389,-14.88081194,295.906494,-14.880812,17.049,0.028,16.432,0.02,16.297,0.023
295.90649389,-15.07818611,295.906494,-15.078186,17.714,0.04,17.312,0.044,17.27,0.055
295.90661611,-14.653055,295.906616,-14.653055,17.731,0.044,17.102,0.029,16.875,0.033
