Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog
,296.281311,-14.988667,17.16,,16.35,,16.07,,C,0.193908991,Sibbons
,296.204498,-14.674287,18.32,,17.55,,17.28,,C,0.129910664,Sibbons
,296.247101,-14.722958,18.13,,17.27,,17.03,,C,0.080548266,Sibbons
,296.244446,-14.75467,17.25,,16.49,,16.22,,C,0.04916998,Sibbons
,296.350891,-14.757086,16.98,,16.22,,15.85,,C,0.128850172,Sibbons
,296.234558,-14.767653,16.96,,16.04,,15.62,,C,0.034321009,Sibbons
,296.290405,-14.774523,17.63,,16.84,,16.69,,C,0.066224796,Sibbons
,296.278412,-14.780069,17.65,,16.54,,15.76,,C,0.053012498,Sibbons
,296.352264,-14.780713,17.09,,16.3,,15.76,,C,0.124047094,Sibbons
,296.229034,-14.781347,17.61,,16.51,,15.94,,C,0.020345945,Sibbons
,296.213776,-14.783867,17.89,,17.08,,16.72,,C,0.024086614,Sibbons
,296.257843,-14.793209,17.91,,17.14,,16.88,,C,0.029100192,Sibbons
,296.208191,-14.797331,17.67,,16.91,,16.45,,C,0.022236443,Sibbons
,296.184326,-14.799191,17.83,,17.03,,16.78,,C,0.045741226,Sibbons
,296.274109,-14.800164,17.57,,16.75,,16.4,,C,0.044134702,Sibbons
,296.251343,-14.803117,17.41,,16.5,,16.15,,C,0.021391995,Sibbons
,296.191315,-14.818703,16.95,,16.05,,15.64,,C ,0.04226881,Sibbons
,296.212616,-14.82485,17.39,,16.56,,16.25,,C ,0.0289744,Sibbons
,296.182983,-14.828946,17.6,,16.81,,16.58,,C ,0.054356034,Sibbons
,296.233093,-14.830748,17.39,,16.6,,16.31,,C ,0.029242037,Sibbons
,296.241516,-14.846167,18.41,,17.3,,16.36,,C ,0.045963042,Sibbons
,296.234772,-14.862573,17.71,,16.99,,16.68,,C ,0.061089667,Sibbons
,296.153625,-14.886689,18,,17.21,,16.92,,C ,0.114286355,Sibbons
,296.183685,-14.962144,18.24,,17.33,,16.82,,C ,0.167023902,Sibbons
