Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
169,,296.241516,-14.846167,18.41,,17.3,,16.36,,C   
170,,296.234772,-14.862573,17.71,,16.99,,16.68,,C   
171,,296.153625,-14.886689,18,,17.21,,16.92,,C   
172,,296.183685,-14.962144,18.24,,17.33,,16.82,,C   
173,,296.812988,-14.611956,18.19,,17.45,,17.19,,C   
174,,295.72052,-15.125569,17.63,,16.68,,16.07,,C   
175,,295.776978,-15.241439,18.24,,17.41,,17.25,,C   
176,,296.190338,-14.641755,17.59,,16.78,,16.4,,C   
177,,296.32608,-14.666169,17.58,,16.8,,16.51,,C   
178,,296.335388,-14.681108,18.39,,17.51,,17.1,,C   
179,,296.539612,-14.704988,17.59,,16.48,,15.73,,C   
180,,296.099152,-14.708244,17.48,,16.63,,16.27,,C   
181,,296.374054,-14.711063,17.55,,16.85,,16.52,,C   
182,,296.075775,-14.711885,18.14,,17.39,,17.1,,C   
183,,296.341431,-14.712852,17.32,,16.39,,15.85,,C   
184,,296.110779,-14.725801,17.15,,16.18,,15.45,,C   
185,,295.977081,-14.726664,17.58,,16.77,,16.22,,C   
186,,296.08786,-14.740214,17.23,,18.14,,15.9,,C   
187,,296.171387,-14.745203,18.02,,17.23,,16.97,,C   
188,,296.342804,-14.764064,18.2,,17.41,,17.02,,C   
189,,296.106384,-14.767224,17.62,,16.8,,16.58,,C   
190,,296.304626,-14.767883,17.76,,17.03,,16.59,,C   
191,,296.333038,-14.770712,18.24,,17.51,,17.25,,C   
192,,296.162018,-14.82305,17.45,,16.64,,16.28,,C   
193,,296.167816,-14.842195,17.72,,16.99,,16.6,,C   
194,,296.066071,-14.844581,17.44,,16.78,,16.3,,C   
195,,296.364624,-14.865284,17.45,,16.57,,16.19,,C   
196,,296.297241,-14.869897,17.49,,16.7,,16.21,,C   
197,,296.207458,-14.896397,17.39,,16.58,,16.2,,C   
198,,296.368011,-14.913227,16.96,,15.87,,15.15,,C   
199,,296.08905,-14.945495,18.64,,     ,,15.9,,C   
200,,296.06134,-14.955141,18.23,,17.2,,17.1,,C   
201,,295.969788,-14.97507,17.69,,16.93,,16.6,,C   
202,,296.090485,-15.010141,18.2,,16.77,,16.74,,C   
203,,295.9715833,-14.87727778,17.725,,,,15.896,,C
204,,295.9795,-14.88288889,17.659,,,,15.924,,C
205,,295.9872917,-14.71725,17.919,,,,15.837,,C
206,,296.0039167,-14.86283333,18.406,,,,16.695,,C
207,,296.0052083,-14.88833333,16.932,,,,15.307,,C
208,,296.0104583,-14.74452778,16.983,,,,15.361,,C
209,,296.01275,-14.74005556,17.553,,,,15.745,,C
210,,296.0195,-14.78566667,17.926,,,,16.385,,C
211,,296.0288333,-14.90255556,17.471,,,,15.156,,C
212,,296.0429167,-14.78219444,17.033,,,,15.322,,C
213,,296.048125,-14.89977778,17.64,,,,15.913,,C
214,,296.0512083,-14.72680556,17.588,,,,15.526,,C
215,,296.0512917,-14.86669444,17.677,,,,15.785,,C
216,,296.053,-14.92319444,17.944,,,,16.189,,C
217,,296.0642083,-14.73602778,17.69,,,,15.998,,C
218,,296.0672917,-14.90311111,18.114,,,,16.186,,C
219,,296.0719583,-14.84902778,17.452,,,,15.915,,C
220,,296.0726667,-14.85652778,17.853,,,,16.275,,C
221,,296.076875,-14.878,17.83,,,,16.111,,C
222,,296.0774167,-14.78311111,17.557,,,,15.866,,C
223,,296.0783333,-14.78972222,17.493,,,,15.54,,C
224,,296.0819167,-14.75133333,17.459,,,,15.951,,C
225,,296.0848333,-14.78113889,17.931,,,,16.142,,C
226,,296.0854167,-14.8265,18.069,,,,16.191,,C
227,,296.0927917,-14.89219444,17.852,,,,15.69,,C
228,,296.1002083,-14.78658333,17.618,,,,15.548,,C
229,,296.103625,-14.72475,17.362,,,,15.267,,C
230,,296.1045,-14.84272222,18.09,,,,15.562,,C
231,,296.106625,-14.87427778,17.896,,,,16.268,,C
232,,296.1095,-14.93286111,17.901,,,,15.859,,C
233,,296.1097083,-14.74066667,17.474,,,,15.91,,C
234,,296.111,-14.85966667,17.429,,,,15.315,,C
235,,296.1127917,-14.86825,17.534,,,,15.622,,C
236,,296.1151667,-14.76961111,17.448,,,,15.497,,C
237,,296.1187083,-14.84547222,18.291,,,,16.169,,C
238,,296.1207083,-14.84447222,17.811,,,,16.104,,C
239,,296.1269167,-14.78975,16.994,,,,14.984,,C
240,,296.1280417,-14.7905,17.8,,,,15.905,,C
241,,296.1295,-14.78983333,17.657,,,,16.016,,C
242,,296.3658333,-14.8525,17.512,,,,15.837,,C
243,,296.3695417,-14.87288889,17.162,,,,15.447,,C
244,,296.3714583,-14.90411111,17.497,,,,15.546,,C
245,,296.3826667,-14.75219444,17.15,,,,15.626,,C
246,,296.4017917,-14.73822222,17.502,,,,15.908,,C
247,,296.4022917,-14.87413889,17.212,,,,15.705,,C
248,,296.4063333,-14.80080556,17.37,,,,15.431,,C
249,,296.4102083,-14.84980556,17.29,,,,15.674,,C
250,,296.4211667,-14.74713889,17.534,,,,15.979,,C
251,,296.4267083,-14.75402778,17.489,,,,15.967,,C
252,,296.4300833,-14.76258333,17.477,,,,15.811,,C
253,,296.436125,-14.89513889,17.603,,,,15.882,,C
254,,296.4425,-14.76263889,17.174,,,,15.292,,C
255,,296.461375,-14.85475,17.42,,,,15.618,,C
256,,296.4752083,-14.89816667,17.27,,,,15.744,,C
257,,296.4792917,-14.69538889,16.708,,,,15.127,,C
258,,296.5227083,-14.84297222,17.62,,,,15.747,,C
259,,296.545625,-14.90069444,17.423,,,,15.513,,C
260,,296.337067,-14.850516,16.924,,16.08,,15.693,,C  
261,,296.306183,-14.863027,17.451,,16.284,,15.489,,C  
262,,296.289734,-14.876258,17.404,,16.537,,15.991,,C  
263,,296.316101,-14.679276,17.443,,16.601,,16.179,,C  
264,,296.343781,-14.74656,17.437,,16.532,,16.128,,C  
265,,296.363739,-14.759742,16.528,,15.565,,14.986,,C  
266,,296.313934,-14.783896,17.388,,16.359,,15.668,,C  
267,,296.193542,-14.678253,17.488,,16.498,,16.071,,C  
268,,296.184784,-14.717754,17.435,,16.459,,16.039,,C  
269,,296.138214,-14.72313,17.227,,16.188,,15.542,,C  
270,,296.197662,-14.763362,17.175,,16.255,,15.536,,C  
271,,296.208893,-14.769947,17.025,,16.201,,15.758,,C  
272,,296.199615,-14.7809,18.414,,17.421,,17.201,,C  
273,,296.180084,-14.825297,17.231,,16.366,,15.897,,C  
274,,296.212219,-14.830112,17.27,,16.343,,16.036,,C  
275,,296.194489,-14.842676,17.014,,16.111,,15.568,,C  
276,,296.202057,-14.847754,17.178,,16.174,,15.577,,C  
277,,296.164886,-14.853178,17.217,,16.028,,15.151,,C  
278,,296.179565,-14.858191,17.341,,16.375,,15.818,,C  
279,,296.188385,-14.861088,17.551,,16.547,,16.182,,C  
280,,296.178772,-14.868636,17.478,,16.402,,15.788,,C  
281,,296.168549,-14.87782,17.222,,16.157,,15.564,,C  
282,,296.206696,-14.92662,16.997,,15.861,,15.147,,C  
283,,296.345673,-14.834577,17.219,,16.341,,15.898,,C  
284,,296.346741,-14.855356,17.32,,16.481,,16.022,,C  
285,,296.365631,-14.891643,15.562,,14.712,,14.318,,C  
286,,296.335785,-14.902986,17.233,,16.411,,16.022,,C  
287,,296.275116,-14.926181,18.321,,17.4,,17.123,,C  
288,,296.293854,-14.708783,17.537,,16.573,,16.344,,C  
289,,296.299103,-14.783449,17.48,,16.529,,15.729,,C  
290,,296.134644,-14.67692,17.35,,16.321,,15.771,,C  
291,,296.121368,-14.679315,17.359,,16.399,,16.029,,C  
292,,296.170105,-14.696488,17.366,,16.439,,16.089,,C  
293,,296.20285,-14.700215,17.115,,15.986,,15.382,,C  
294,,296.187347,-14.717557,17.671,,16.723,,16.491,,C  
295,,296.198029,-14.719869,17.606,,16.479,,15.802,,C  
296,,296.103516,-14.723016,17.447,,16.545,,16.07,,C  
297,,296.151001,-14.726998,16.872,,16,,15.486,,C  
298,,296.159454,-14.733295,17.518,,16.572,,15.92,,C  
299,,296.179535,-14.737016,17.065,,16.054,,15.353,,C  
300,,296.179321,-14.742605,17.415,,16.49,,15.87,,C  
301,,296.207184,-14.745038,17.006,,15.993,,15.379,,C  
302,,296.179443,-14.752915,16.663,,15.734,,15.234,,C  
303,,296.203827,-14.755259,17.967,,17.164,,16.598,,C  
304,,296.181671,-14.7577,17.175,,16.282,,15.944,,C  
305,,296.202637,-14.773767,17.296,,16.414,,15.714,,C  
306,,296.194275,-14.821965,17.296,,16.408,,15.902,,C  
307,,296.163879,-14.827393,17.105,,15.991,,15.211,,C  
308,,296.170105,-14.844587,17.354,,16.234,,15.509,,C  
309,,296.156158,-14.860965,17.108,,16.214,,15.634,,C  
310,,296.171783,-14.865685,17.105,,16.145,,15.625,,C  
311,,296.178711,-14.876316,18.07,,17.083,,16.72,,C  
312,,296.155457,-14.878673,17.625,,16.429,,15.762,,C  
313,,296.19754,-14.883656,17.866,,16.778,,16.2,,C  
314,,296.201691,-14.886331,16.685,,15.619,,15.007,,C  
315,,296.089813,-14.905375,17.896,,16.855,,16.316,,C  
316,,296.17276,-14.922873,16.532,,15.67,,15.261,,C  
317,,296.209412,-14.569217,17.453,,16.39,,15.66,,C  
318,,296.040436,-14.607334,18.163,,17.085,,16.646,,C  
319,,295.99939,-14.635953,17.817,,16.896,,16.458,,C  
320,,296.021149,-14.796692,17.356,,16.289,,15.713,,C  
321,,296.4646,-14.807542,17.144,,16.231,,15.567,,C  
322,,296.51123,-14.584842,17.755,,16.79,,16.308,,C  
323,,296.521149,-14.614511,18.27,,17.226,,16.797,,C  
324,,296.488861,-14.638191,17.496,,16.557,,15.974,,C  
325,,296.294617,-14.567719,18.624,,17.757,,17.118,,C  
326,,296.326508,-14.641376,16.649,,15.697,,15.114,,C  
327,,296.263336,-14.708953,17.071,,16.053,,15.567,,C  
328,,296.264954,-14.715384,17.411,,16.435,,16.041,,C  
329,,296.31192,-14.728691,17.538,,16.72,,15.967,,C  
330,,296.318024,-14.739033,17.173,,16.378,,15.97,,C  
331,,296.283783,-14.741738,18.103,,17.246,,16.869,,C  
332,,296.339813,-14.745103,18.044,,16.882,,16.328,,C  
333,,296.276062,-14.751641,17.531,,16.642,,16.026,,C  
334,,296.252136,-14.757003,17.914,,16.978,,16.427,,C  
335,,296.248871,-14.764977,17.11,,15.994,,15.228,,C  
336,,296.330048,-14.767764,17.105,,16.08,,15.383,,C  
337,,296.261536,-14.769683,17.345,,16.483,,16.072,,C  
338,,296.301117,-14.779015,17.097,,16.157,,15.672,,C  
339,,296.307007,-14.784284,16.947,,16.062,,15.609,,C  
340,,296.356781,-14.748176,17.254,,16.329,,15.885,,C  
341,,296.479218,-14.974156,16.882,,15.943,,15.387,,C  
342,,296.470612,-14.886045,17.665,,16.743,,16.467,,C  
343,,296.251434,-14.798083,17.625,,16.616,,16.058,,C  
344,,296.297028,-14.802626,16.821,,15.758,,14.954,,C  
345,,296.256256,-14.807403,17.424,,16.327,,15.554,,C  
346,,296.244385,-14.810474,16.872,,15.96,,15.476,,C  
347,,296.244141,-14.813117,17.32,,16.187,,15.349,,C  
348,,296.259552,-14.815343,17.428,,16.335,,15.717,,C  
349,,296.259796,-14.82215,17.409,,16.47,,16.006,,C  
350,,296.264984,-14.824442,18.374,,17.308,,17.061,,C  
351,,296.257324,-14.837327,18.011,,17.107,,16.687,,C  
352,,296.257874,-14.842669,17.395,,16.265,,15.595,,C  
353,,296.244781,-14.845008,17.719,,16.678,,16.005,,C  
354,,296.262543,-14.847853,17.049,,16.052,,15.442,,C  
355,,296.337067,-14.850516,16.924,,16.08,,15.693,,C  
356,,296.275482,-14.853798,17.352,,16.271,,15.605,,C  
357,,296.278717,-14.858888,16.683,,15.688,,15.117,,C  
358,,296.261169,-14.861171,18.091,,17.198,,16.647,,C  
359,,296.281311,-14.863727,18.471,,17.403,,17.179,,C  
360,,296.309265,-14.868592,17.326,,16.568,,16.129,,C  
361,,296.289734,-14.876258,17.404,,16.537,,15.991,,C  
362,,296.262299,-14.882443,16.354,,15.396,,14.905,,C  
363,,296.294189,-14.884681,16.906,,15.826,,15.156,,C  
364,,296.266968,-14.910404,17.84,,16.579,,15.701,,C  
365,,296.286987,-14.962574,17.446,,16.297,,15.629,,C  
366,,296.311035,-14.973057,17.364,,16.349,,15.704,,C  
367,,296.334747,-14.99367,17.319,,16.239,,15.529,,C  
368,,296.325409,-14.997616,17.49,,16.614,,16.124,,C  
369,,296.250244,-15.015092,18.436,,17.14,,15.842,,C  
370,,296.216919,-14.990644,17.631,,16.691,,16.218,,C  
371,,296.219086,-14.802538,17.309,,16.477,,15.994,,C  
372,,296.16803,-14.836925,18.081,,16.862,,15.934,,C  
373,,296.22171,-14.839417,17.929,,17,,16.501,,C  
374,,296.204712,-14.849141,17.306,,16.262,,15.565,,C  
375,,296.187256,-14.854028,18.166,,17.224,,16.937,,C  
376,,296.227081,-14.876891,17.543,,16.457,,15.858,,C  
377,,296.226807,-14.881382,17.365,,16.369,,15.908,,C  
378,,295.976105,-14.796489,18.25,,17.411,,17.052,,C  
379,,296.003693,-14.974893,18.392,,17.56,,17.21,,C  
380,,297.181274,-14.445981,18.53,,18.264,,17.292,,C  
381,,297.108337,-14.49365,18.191,,17.383,,16.661,,C 
382,,297.013916,-14.348797,18.201,,17.552,,16.944,,C
383,,295.689667,-15.155052,17.736,,16.787,,16.428,,C
