#,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG
234,,296.1269167,-14.78975,16.994,,,,14.984,,C,0.10377019388484171
235,,296.1280417,-14.7905,17.8,,,,15.905,,C,0.10256833740924724
236,,296.1295,-14.78983333,17.657,,,,16.016,,C,0.10119464786583861
237,,296.3658333,-14.8525,17.512,,,,15.837,,C,0.14503232153175505
238,,296.3695417,-14.87288889,17.162,,,,15.447,,C,0.1566653003435058
239,,296.3714583,-14.90411111,17.497,,,,15.546,,C,0.17465575185750176
240,,296.3826667,-14.75219444,17.15,,,,15.626,,C,0.16048349549471677
241,,296.4017917,-14.73822222,17.502,,,,15.908,,C,0.18313385535123888
242,,296.4022917,-14.87413889,17.212,,,,15.705,,C,0.1869121983892656
243,,296.4063333,-14.80080556,17.37,,,,15.431,,C,0.17633541886242582
244,,296.4102083,-14.84980556,17.29,,,,15.674,,C,0.1865263078640786
245,,296.4211667,-14.74713889,17.534,,,,15.979,,C,0.19879222607214977
246,,296.4267083,-14.75402778,17.489,,,,15.967,,C,0.20239549504719867
247,,296.4300833,-14.76258333,17.477,,,,15.811,,C,0.20386538379666852
248,,296.436125,-14.89513889,17.603,,,,15.882,,C,0.22632708415659486
249,,296.4425,-14.76263889,17.174,,,,15.292,,C,0.21605480218644163
250,,296.461375,-14.85475,17.42,,,,15.618,,C,0.2373855029798159
251,,296.4752083,-14.89816667,17.27,,,,15.744,,C,0.2635122724086675
252,,296.4792917,-14.69538889,16.708,,,,15.127,,C,0.271001893040807
253,,296.5227083,-14.84297222,17.62,,,,15.747,,C,0.29560788600068516
254,,296.545625,-14.90069444,17.423,,,,15.513,,C,0.33079446842757976
255,,296.337067,-14.850516,16.924,,16.08,,15.693,,C  ,0.11768293931149988
256,,296.306183,-14.863027,17.451,,16.284,,15.489,,C  ,0.0978188680060942
257,,296.289734,-14.876258,17.404,,16.537,,15.991,,C  ,0.09555898963467048
258,,296.316101,-14.679276,17.443,,16.601,,16.179,,C  ,0.1496451584148228
259,,296.343781,-14.74656,17.437,,16.532,,16.128,,C  ,0.12642479211369456
260,,296.363739,-14.759742,16.528,,15.565,,14.986,,C  ,0.1401573305432068
261,,296.313934,-14.783896,17.388,,16.359,,15.668,,C  ,0.08579528793587592
262,,296.193542,-14.678253,17.488,,16.498,,16.071,,C  ,0.12868932221828971
263,,296.184784,-14.717754,17.435,,16.459,,16.039,,C  ,0.09532251419262704
264,,296.138214,-14.72313,17.227,,16.188,,15.542,,C  ,0.1208023236366026
265,,296.197662,-14.763362,17.175,,16.255,,15.536,,C  ,0.050132316004772796
266,,296.208893,-14.769947,17.025,,16.201,,15.758,,C  ,0.03810320430096655
267,,296.199615,-14.7809,18.414,,17.421,,17.201,,C  ,0.036805449664436954
268,,296.180084,-14.825297,17.231,,16.366,,15.897,,C  ,0.055225376277574276
269,,296.212219,-14.830112,17.27,,16.343,,16.036,,C  ,0.033542679156568396
270,,296.194489,-14.842676,17.014,,16.111,,15.568,,C  ,0.05424502886904108
271,,296.202057,-14.847754,17.178,,16.174,,15.577,,C  ,0.05389384292291349
272,,296.164886,-14.853178,17.217,,16.028,,15.151,,C  ,0.08302353316981424
273,,296.179565,-14.858191,17.341,,16.375,,15.818,,C  ,0.07575165124272415
274,,296.188385,-14.861088,17.551,,16.547,,16.182,,C  ,0.07254176003518989
275,,296.178772,-14.868636,17.478,,16.402,,15.788,,C  ,0.08431342206318
276,,296.168549,-14.87782,17.222,,16.157,,15.564,,C  ,0.09785217371629597
277,,296.206696,-14.92662,16.997,,15.861,,15.147,,C  ,0.12710459832751858
278,,296.345673,-14.834577,17.219,,16.341,,15.898,,C  ,0.12026268572583253
279,,296.346741,-14.855356,17.32,,16.481,,16.022,,C  ,0.12849376512888808
