Ra(J2000) deg,Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,selected_Z
296.24728,-14.76419,LAV,C/O,0.041271646,20.227,0.035,18.740000000000002,1.05,17.79,0.92,16.620459688653998,0.63,16.43,0.05,15.87,0.03,15.41,0.06,15.34,0.07,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.050196119612590406,1.1225252521695597,9.767468125809874,5854207689.368377,5.623152419967558,419906.3284355016,0.003
296.208893,-14.769947,C,C,0.038103204,19.455,0.017,16.825,89.99,16.201,89.99,15.687999999999999,89.99,15.26,0.07,15.2,0.07,14.99,0.02,14.9,0.06,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.155,0.017,22.87,19.993,18.806,1.1370000000000005,0.2224803163960003,1.6690921569438895,9.324216,2109677154.6581662,6.388473735562018,2446097.3411423955,0.006
296.22778,-14.76111,LAV,C/O,0.040620709,20.242,0.059,18.150000000000002,0.34,17.01,0.15,15.989166873051316,0.09,15.14,0.06,15.03,0.05,14.9,0.03,14.84,0.09,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.16683577384605375,1.4683709159763143,9.495380922285118,3128822472.837477,6.236718877174992,1724721.1026928585,0.006
296.199615,-14.7809,C,C/O,0.03680545,20.491,0.043,18.214000000000002,89.99,17.421,89.99,17.131,89.99,16.85,0.04,16.95,0.07,16.41,0.12,15.71,0.15,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.083000000000002,-0.05115571378900041,0.8888823570589868,10.025023000000001,10593098241.650217,4.753109398105799,56638.19418023913,0.0015
296.261536,-14.769683,C,C,0.044918676,19.855,0.023,17.145,89.99,16.483,89.99,16.002,89.99,15.65,0.03,15.6,0.03,15.54,0.06,15.01,0.06,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.1430000000000007,0.16446468478400011,1.4603759922556765,9.500912,3168925286.613319,6.226770593359007,1685662.3755853374,0.006
296.21631,-14.83196,LPV,C/O,0.033240039,89.99,89.99,20.17,89.99,18.0,89.99,14.829620071644914,89.99,14.12,0.05,13.12,0.03,12.45,0.05,11.91,0.06,13.982,0.05,12.743,0.033,10.685,0.109,8.596,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.38107730272269946,2.404790805291457,8.881440430090866,761097736.0385288,6.26810724086219,1853989.3747367573,0.008
296.274109,-14.800164,C,C,0.044134702,19.935,0.018,17.37,89.99,16.75,89.99,16.33,89.99,15.99,0.06,16.15,0.05,16.03,0.12,16.27,0.25,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.0400000000000027,0.10386236896000023,1.2701715149458037,9.64228,4388135201.256473,5.898145568805028,790943.6956890357,0.003
296.202637,-14.773767,C,C,0.039080829,19.959,0.049,17.096,89.99,16.414,89.99,15.644,89.99,15.17,0.04,15.48,0.07,15.43,0.06,14.78,0.05,15.14,0.069,15.578,0.167,12.46,89.99,8.568,89.99,89.99,89.99,89.99,89.99,89.99,1.452,0.23060989534800003,1.7006302324397724,9.292008000000001,1958880757.0906928,6.395716618658334,2487233.84458112,0.006
296.212219,-14.830112,C,C,0.033542679,19.653,0.024,17.07,89.99,16.343,89.99,15.966000000000001,89.99,15.54,0.04,15.72,0.09,15.49,0.07,15.7,0.15,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.1039999999999992,0.1711161584719998,1.482914659531238,9.485396000000001,3057707933.029574,6.254378171708367,1796297.1122095678,0.006
296.27341,-14.80861,S,C/O,0.043961252,20.104,0.023,17.400000000000002,0.03,16.62,0.03,16.2,0.05,15.96,0.06,16.12,0.03,15.61,0.06,15.69,0.08,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.2000000000000028,0.12788157950000012,1.3423988749275524,9.58625,3857003207.2575464,6.0233428580851545,1055219.6212399937,0.003
296.25696,-14.83051,LPV,C/O,0.039478946,89.99,89.99,20.1,89.99,18.37,89.99,15.585476383698527,89.99,14.38,0.05,13.54,0.06,12.91,0.06,12.19,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.2414229035134403,1.743503821065445,9.249168712867323,1774878844.3415759,6.401792088480418,2522272.9856504775,0.006
296.264984,-14.824442,C,C/O,0.041742595,20.805,0.045,18.174,89.99,17.308,89.99,16.991,89.99,17.12,0.06,16.87,0.06,16.28,0.09,16.29,0.15,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.1829999999999998,-0.024047750000000034,0.9461331297869026,9.943403,8778150045.565952,5.323083540819166,210418.3161185612,0.003
296.21545,-14.83469,S,C/O,0.036083554,19.59,0.018,17.25,0.03,16.53,0.04,16.13,0.06,15.96,0.04,16.11,0.05,16.11,0.07,15.85,0.13,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.041,0.013,21.859,20.089,18.945,1.120000000000001,0.14081500056000018,1.3829771370923714,9.55608,3598156095.361582,6.121813945776722,1323774.301269186,0.006
296.24295,-14.83836,LPV,C/O,0.038908336,20.173,0.022,18.2,89.99,17.06,89.99,15.557417357686711,89.99,14.25,0.05,13.64,0.04,13.04,0.04,12.61,0.04,13.856,0.044,13.375,0.043,11.78,89.99,8.497,89.99,21.576,0.026,23.226,20.502,19.397,1.7189999999999994,0.24660717776978758,1.7644411500096722,9.228629505826675,1692892986.7937307,6.403206538348591,2530501.146132547,0.006
296.22171,-14.839417,C,C,0.038646605,20.421,0.049,17.729,89.99,17.0,89.99,16.431,89.99,16.02,0.04,16.07,0.06,15.74,0.06,15.95,0.09,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.2979999999999983,0.08520129000199983,1.2167498181336576,9.685811000000001,4850773540.951076,5.800195990720771,631242.1505218212,0.003
296.244446,-14.75467,C,C,0.04916998,19.605,0.021,17.05,89.99,16.49,89.99,16.15,89.99,15.78,0.04,15.9,0.04,16.01,0.08,15.62,0.12,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.136,0.014,22.917,20.001,18.93,0.9000000000000021,0.13711973740000016,1.3712597779869362,9.5647,3670286784.8109703,6.104595023188495,1272316.101094867,0.006
296.252136,-14.757003,C,C,0.049851212,19.809,0.021,17.714000000000002,89.99,16.978,89.99,16.357,89.99,15.8,0.03,15.77,0.05,15.47,0.07,15.02,0.07,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.694,0.023,22.531,20.498,19.347,1.3570000000000029,0.09887376369400003,1.2556649267260147,9.653917,4507305551.365705,5.871899108517129,744558.9844037087,0.003
296.21027,-14.75973,LPV,C/O,0.046349072,20.395,0.075,17.69,89.99,16.91,89.99,16.22,89.99,15.66,0.04,15.64,0.06,15.39,0.05,15.17,0.07,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.4700000000000024,0.1241863163400001,1.3310253176514513,9.59487,3934322893.55649,6.004328655112113,1010016.9336814566,0.003
296.19489,-14.82267,LPV,C/O,0.040911027,20.357,0.04,17.900000000000002,89.99,16.85,89.99,15.642816969978394,89.99,14.9,0.04,14.72,0.06,14.63,0.04,14.09,0.03,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.23082847571080056,1.7014863748703175,9.291142022024186,1954978664.0669498,6.3958802359074225,2488171.0681577693,0.006
296.257324,-14.837327,C,C,0.044922407,20.463,0.037,17.811,89.99,17.107,89.99,16.617,89.99,15.99,0.06,16.0,0.04,15.81,0.09,15.51,0.09,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.955,0.025,23.289,20.641,19.492,1.193999999999999,0.0508353426139998,1.1241786747065579,9.765977000000001,5834142061.559347,5.626248776240649,422910.80023724615,0.003
296.194275,-14.821965,C,C,0.041087257,19.767,0.017,17.096,89.99,16.408,89.99,15.831999999999999,89.99,15.46,0.06,15.29,0.04,15.1,0.06,14.85,0.06,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.2640000000000011,0.19587442164400026,1.5699087919546952,9.427642,2676960728.1625175,6.348068809315404,2228788.248955853,0.006
296.19647,-14.70265,LPV,C/O,0.104542916,89.99,89.99,18.01,89.99,16.6,89.99,14.844375026719424,89.99,13.78,0.05,13.52,0.04,13.16,0.11,12.75,0.05,14.826,0.037,13.992,0.043,12.28,89.99,8.661,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.37835113062698467,2.389742628438928,8.88763751122216,772035927.6206139,6.274645520504187,1882112.2462173807,0.008
296.278412,-14.780069,C,C,0.053012498,20.2,0.036,17.45,89.99,16.54,89.99,15.674566485343002,89.99,14.87,0.07,14.94,0.05,14.87,0.05,14.45,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.2249623349870662,1.6786584269723046,9.31438266727108,2062446383.7971618,6.390921586954201,2459923.4182089297,0.006
296.26702,-14.76311,O,C/O,0.053454223,18.855,0.008,15.260000000000002,89.99,14.67,89.99,14.11,89.99,13.83,0.07,13.63,0.06,13.37,0.04,13.19,0.04,13.308,0.05,13.184,0.059,11.421,89.99,8.063,89.99,89.99,89.99,89.99,89.99,89.99,1.1500000000000021,0.6264046188999997,4.230625851967665,8.163200000000002,145612949.86160624,5.059684853865638,114732.07651311287,0.008
296.22681,-14.75065,LAV,C/O,0.051119629,19.313,0.013,16.93,0.34,15.92,0.29,14.97563095106472,0.28,14.43,0.05,14.45,0.06,14.15,0.06,13.67,0.04,14.119,0.043,14.295,0.061,12.5,89.99,8.842,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.3540998715387389,2.2599554159553183,8.942764999447183,876526396.6774216,6.322396562274166,2100857.3395106257,0.008
296.23346,-14.74996,LAV,C/O,0.051825628,19.877,0.035,17.51,0.18,16.93,0.23,16.45,0.18,15.85,0.07,15.82,0.06,15.8,0.07,15.58,0.14,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.0600000000000023,0.08169079000000012,1.206954199049436,9.694,4943106869.868363,5.781917185313561,605225.4546013984,0.003
296.28308,-14.80497,S,C/O,0.053182482,19.624,0.014,17.26,0.03,16.55,0.02,16.15,0.05,16.09,0.07,16.17,0.03,15.71,0.07,15.74,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.455,0.02,23.538,20.213,18.946,1.110000000000003,0.13711973740000016,1.3712597779869362,9.5647,3670286784.8109703,6.104595023188495,1272316.101094867,0.006
296.283356,-14.789384,C,C,0.054752247,19.906,0.02,17.27,89.99,16.75,89.99,16.38,89.99,15.84,0.07,15.83,0.06,15.51,0.05,15.53,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.725,0.023,23.937,20.351,19.147,0.8900000000000006,0.09462421106000019,1.243438216448959,9.66383,4611370319.934743,5.8495550508874965,707220.8418560274,0.003
296.244781,-14.845008,C,C,0.045789302,20.146,0.078,17.519000000000002,89.99,16.678,89.99,15.934999999999999,89.99,15.03,0.05,14.67,0.05,14.24,0.06,14.17,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.672,0.021,24.177,20.374,19.256,1.5840000000000032,0.17684381637000013,1.502601494199429,9.472035,2965070336.332258,6.277376807045577,1893986.185747626,0.006
