Ra(J2000) deg	Dec(J2000) deg	J	eJ	Ks	eKs
296.0481	-14.8998	17.64	1.73	15.91	0.00
296.0512	-14.7268	17.59	2.06	15.53	0.00
296.0513	-14.8667	17.68	1.89	15.79	0.00
296.0530	-14.9232	17.94	1.76	16.19	0.00
296.0609	-15.0949	17.82	1.69	16.14	0.00
296.0613	-14.7628	18.33	1.78	16.56	0.00
296.0614	-14.8147	17.94	2.46	15.48	0.00
296.0622	-14.8233	18.29	1.54	16.75	0.00
296.0642	-14.7360	17.69	1.69	16.00	0.00
296.0673	-14.9031	18.11	1.93	16.19	0.00
296.0674	-14.8123	17.97	1.52	16.44	0.00
296.0710	-14.7900	17.38	1.55	15.83	0.00
296.0720	-14.8490	17.45	1.54	15.92	0.00
296.0727	-14.8565	17.85	1.58	16.28	0.00
296.0769	-14.8780	17.83	1.72	16.11	0.00
296.0774	-14.7831	17.56	1.69	15.87	0.00
296.0783	-14.7897	17.49	1.95	15.54	0.00
296.0819	-14.7513	17.46	1.51	15.95	0.00
296.0848	-14.7811	17.93	1.79	16.14	0.00
296.0854	-14.8265	18.07	1.88	16.19	0.00
296.0883	-14.8174	17.81	1.54	16.26	0.00
296.0928	-14.8922	17.85	2.16	15.69	0.00
296.0960	-15.0407	17.84	1.57	16.27	0.00
296.0970	-14.8360	17.93	1.77	16.16	0.00
296.1002	-14.7866	17.62	2.07	15.55	0.00
296.1036	-14.7248	17.36	2.10	15.27	0.00
296.1041	-14.7926	18.05	2.51	15.55	0.00
296.1045	-14.8427	18.09	2.53	15.56	0.00
296.1066	-14.8743	17.90	1.63	16.27	0.00
296.1095	-14.9329	17.90	2.04	15.86	0.00
296.1097	-14.7407	17.47	1.56	15.91	0.00
296.1108	-14.7907	17.96	1.71	16.25	0.00
296.1110	-14.8597	17.43	2.11	15.32	0.00
296.1128	-14.8683	17.53	1.91	15.62	0.00
296.1152	-14.7696	17.45	1.95	15.50	0.00
296.1160	-14.8811	17.72	2.08	15.64	0.00
296.1178	-14.7929	18.01	1.55	16.46	0.00
296.1185	-14.7334	17.99	1.58	16.40	0.00
296.1187	-14.8455	18.29	2.12	16.17	0.00
296.1207	-14.8445	17.81	1.71	16.10	0.00
296.1269	-14.7898	16.99	2.01	14.98	0.00
296.1280	-14.7905	17.80	1.90	15.91	0.00
296.1291	-14.8711	17.95	1.52	16.43	0.00
296.1295	-14.7898	17.66	1.64	16.02	0.00
296.1313	-14.8487	17.53	1.52	16.01	0.00
296.1315	-14.8549	17.14	1.85	15.30	0.00
296.3658	-14.8525	17.51	1.68	15.84	0.00
296.3685	-14.7489	17.44	1.52	15.92	0.00
296.3695	-14.8729	17.16	1.72	15.45	0.00
296.3715	-14.9041	17.50	1.95	15.55	0.00
296.3806	-14.5400	17.72	1.88	15.84	0.00
296.3827	-14.7522	17.15	1.52	15.63	0.00
296.4011	-14.6176	17.97	1.74	16.23	0.00
296.4018	-14.7382	17.50	1.59	15.91	0.00
296.4023	-14.8741	17.21	1.51	15.71	0.00
296.4063	-14.8008	17.37	1.94	15.43	0.00
296.4102	-14.8498	17.29	1.62	15.67	0.00
296.4166	-14.5999	17.67	1.53	16.14	0.00
296.4212	-14.7471	17.53	1.56	15.98	0.00
296.4267	-14.7540	17.49	1.52	15.97	0.00
296.4286	-14.5416	18.26	1.83	16.44	0.00
296.4301	-14.7626	17.48	1.67	15.81	0.00
296.4361	-14.8951	17.60	1.72	15.88	0.00
296.4425	-14.7626	17.17	1.88	15.29	0.00
296.4494	-14.7635	18.24	1.60	16.64	0.00
296.4536	-14.4519	17.90	1.57	16.33	0.00
296.4614	-14.8548	17.42	1.80	15.62	0.00
296.4752	-14.8982	17.27	1.53	15.74	0.00
296.4793	-14.6954	16.71	1.58	15.13	0.00
296.4796	-14.3744	17.58	1.63	15.95	0.00
296.5159	-14.7466	18.22	1.59	16.64	0.00
296.5227	-14.8430	17.62	1.87	15.75	0.00
296.5232	-14.4993	17.60	1.60	16.00	0.00
296.5456	-14.9007	17.42	1.91	15.51	0.00
296.5838	-14.6504	18.44	1.86	16.58	0.00
296.5943	-14.8693	17.50	1.61	15.88	0.00
296.5963	-14.3754	17.94	1.76	16.18	0.00
296.5970	-14.8421	17.96	1.59	16.37	0.00
296.6140	-14.7704	17.43	1.57	15.86	0.00
296.6206	-14.7653	18.06	2.15	15.91	0.00
296.6209	-14.4247	18.15	1.73	16.43	0.00
296.6338	-14.7257	18.23	1.58	16.66	0.00
296.6959	-14.7927	18.19	1.68	16.50	0.00
