#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.55 -0.27  0.17952 -2.271 3.539  5.063  9.90  0.034 0.00 20.347 25.061 23.561 21.982 20.923 19.752 18.604 18.030 17.785  0.180 
 1   8.55 -0.09  0.90307 -0.335 3.726  4.579 10.80  0.037 0.74 16.162 17.713 17.292 16.428 15.921 15.494 14.896 14.403 14.342  0.903 
 1   8.55  0.01  0.26062 -2.019 3.553  5.030  8.30  0.025 0.00 18.117 22.417 21.108 19.650 18.639 17.493 16.380 15.804 15.575  0.261 
 1   8.55  0.11  0.07393 -3.219 3.404  5.089 10.80  0.037 0.84 23.142 32.776 29.875 27.726 25.752 23.419 21.052 20.493 20.158  0.074 
 1   8.55  0.15  4.75816 -1.945 4.283  8.395 11.20  0.037 0.00 20.832 21.736 22.513 22.680 22.764 22.879 23.144 23.224 23.290  0.855 
 1   8.57 -0.17  0.20755 -2.180 3.551  5.087 12.50  0.038 0.00 22.721 27.136 25.741 24.228 23.210 22.103 21.001 20.424 20.189  0.208 
 1   8.57 -0.03  0.09745 -2.779 3.467  5.019 10.90  0.037 0.75 22.323 29.041 27.178 25.392 23.941 22.094 20.345 19.812 19.510  0.097 
 1   8.57  0.05  0.37576 -1.703 3.571  4.946 10.60  0.036 0.00 19.627 23.526 22.363 21.010 20.039 18.979 17.912 17.323 17.130  0.376 
 1   8.57  0.07  0.30644 -1.891 3.558  4.995 10.00  0.034 0.97 18.780 22.981 21.711 20.282 19.280 18.155 17.051 16.469 16.249  0.306 
 1   8.57  0.11  0.29448 -1.929 3.554  4.999 10.40  0.036 0.96 19.283 23.587 22.284 20.831 19.818 18.667 17.550 16.970 16.741  0.294 
 1   8.59 -0.15  0.26093 -1.992 3.562  5.040 14.10  0.038 0.75 23.353 27.618 26.292 24.820 23.814 22.728 21.636 21.058 20.833  0.261 
 1   8.61 -0.13  0.12648 -2.562 3.494  5.023 10.80  0.037 0.00 21.975 27.694 26.006 24.311 23.061 21.515 20.113 19.567 19.293  0.126 
 1   8.61 -0.01  0.35361 -1.761 3.570  4.974  8.80  0.028 0.00 17.971 21.872 20.693 19.326 18.358 17.315 16.260 15.674 15.478  0.354 
 1   8.61  0.15  0.09694 -2.813 3.457  5.013 10.40  0.036 0.00 22.202 28.908 27.025 25.234 23.773 21.920 20.235 19.711 19.409  0.097 
 1   8.61  0.25  0.14553 -2.457 3.492  4.970  9.10  0.030 0.00 20.013 25.636 24.054 22.406 21.148 19.568 18.133 17.602 17.323  0.146 
 1   8.63 -0.17  0.12961 -2.545 3.497  5.030 10.20  0.035 0.86 20.722 26.522 24.787 23.071 21.814 20.263 18.859 18.309 18.035  0.130 
 1   8.63 -0.13  0.10289 -2.746 3.476  5.045 11.50  0.038 0.00 23.134 29.431 27.566 25.792 24.437 22.741 21.227 20.684 20.400  0.103 
 1   8.63  0.07  0.17192 -2.345 3.516  5.028 11.40  0.037 0.00 22.033 27.093 25.633 24.062 22.914 21.507 20.211 19.666 19.408  0.172 
 1   8.63  0.21  0.09147 -2.890 3.447  5.022 11.00  0.037 0.00 22.994 30.099 28.091 26.249 24.715 22.774 20.999 20.476 20.169  0.091 
 1   8.63  0.27  0.12231 -2.620 3.477  4.998 11.60  0.038 0.00 22.920 28.972 27.282 25.574 24.235 22.540 21.006 20.478 20.187  0.122 
 1   8.63  0.31  1.91006  1.159 3.905  4.127 12.00  0.038 0.00 13.873 14.121 14.049 13.848 13.740 13.656 13.558 13.498 13.486  1.910 
 1   8.65 -0.21  0.10478 -2.732 3.481  5.059 11.70  0.038 0.00 23.301 29.563 27.651 25.862 24.530 22.881 21.412 20.859 20.581  0.105 
 1   8.65  0.07  0.21673 -2.182 3.540  5.063 10.60  0.036 0.00 20.824 25.398 24.026 22.521 21.465 20.233 19.062 18.497 18.255  0.217 
 1   8.65  0.35  0.45775 -1.506 3.581  4.873  9.80  0.034 0.00 18.335 22.090 21.015 19.762 18.798 17.708 16.614 15.988 15.824  0.458 
 1   8.67 -0.03  0.54829 -1.258 3.609  4.816 11.60  0.038 0.00 19.514 22.784 21.714 20.456 19.608 18.859 17.935 17.257 17.132  0.548 
 1   8.67  0.05  0.12650 -2.596 3.485  5.022 10.60  0.036 0.00 21.861 27.701 26.056 24.374 23.078 21.446 19.967 19.436 19.152  0.127 
 1   8.67  0.23  0.43274 -1.568 3.576  4.892 11.00  0.037 0.00 19.690 23.515 22.417 21.129 20.154 19.055 17.962 17.358 17.180  0.433 
 1   8.69 -0.41  0.27435 -1.903 3.581  5.048 15.00  0.038 0.00 24.528 28.208 27.046 25.653 24.716 23.859 22.880 22.295 22.105  0.274 
 1   8.69 -0.23  0.27116 -1.947 3.569  5.039 11.30  0.037 0.95 20.236 24.238 22.984 21.552 20.577 19.586 18.544 17.963 17.755  0.271 
 1   8.69 -0.17  0.39526 -1.615 3.585  4.937 11.30  0.037 0.00 20.107 23.715 22.598 21.262 20.337 19.442 18.451 17.845 17.672  0.395 
