Gc,logAg,e [M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,U,B,V,R,I,J,H,K,Mact
1,7.41,0.19,0.10677,-2.036,3.48,4.368,8.3,0.511,0.77,17.593,24.433,22.611,20.76,19.319,17.51,15.813,15.231,14.908,0.107
1,7.43,-0.13,0.4615,-1.459,3.595,4.888,9.5,0.657,0,17.918,22.304,21.072,19.594,18.584,17.628,16.478,15.77,15.578,0.461
1,7.43,0.01,0.05259,-2.589,3.441,4.459,10.1,0.71,0.75,20.817,29.038,27.032,25.042,23.321,21.151,18.991,18.407,18.024,0.053
1,7.43,0.01,0.1539,-1.855,3.506,4.45,14.3,0.77,0,23.708,30.108,28.428,26.616,25.287,23.656,22.081,21.459,21.144,0.154
1,7.43,0.37,0.11101,-2.022,3.481,4.375,4.5,0.112,0.94,13.618,19.696,18.011,16.294,14.957,13.271,11.734,11.197,10.903,0.111
1,7.45,-0.05,0.43089,-1.548,3.585,4.907,10.8,0.747,0.92,18.786,23.564,22.264,20.73,19.657,18.554,17.319,16.632,16.411,0.431
1,7.45,0.05,0.04048,-2.79,3.415,4.441,10.1,0.71,0.86,21.213,29.995,27.99,25.979,24.108,21.77,19.341,18.766,18.353,0.04
1,7.45,0.13,0.03667,-2.857,3.402,4.414,10.3,0.723,0.77,21.656,31.026,28.891,26.811,24.832,22.392,19.766,19.177,18.743,0.037
1,7.47,0.11,0.11774,-2.004,3.487,4.408,9.2,0.625,0,18.98,25.64,23.879,22.042,20.648,18.911,17.266,16.668,16.347,0.118
1,7.49,-0.05,0.29851,-1.898,3.563,5.009,11.2,0.759,0,20.714,25.914,24.486,22.859,21.735,20.512,19.214,18.549,18.29,0.299
1,7.49,-0.01,0.62921,-1.06,3.629,4.759,12.4,0.77,0,19.82,23.983,22.751,21.332,20.408,19.611,18.52,17.745,17.592,0.629
1,7.51,-0.07,0.07121,-2.447,3.461,4.528,10.6,0.739,0.74,20.962,28.88,26.788,24.779,23.162,21.135,19.196,18.592,18.238,0.071
1,7.51,0.19,0.03441,-2.961,3.389,4.437,10.7,0.743,0.84,22.267,32.311,29.924,27.736,25.649,23.128,20.372,19.771,19.326,0.034
1,7.51,0.35,0.02988,-3.051,3.371,4.395,10.1,0.71,0,22.497,32.915,30.375,28.136,25.984,23.418,20.584,19.983,19.533,0.03
1,7.53,-0.15,1.26712,0.394,3.823,4.385,12.5,0.77,0.75,16.054,17.7,17.542,16.851,16.41,15.987,15.432,15.083,15.008,1.267
1,7.53,-0.01,0.21213,-2.19,3.543,5.074,11.3,0.761,0,21.546,27.193,25.643,23.931,22.747,21.385,20.007,19.356,19.068,0.212
1,7.53,-0.01,0.51311,-1.355,3.6,4.848,14.2,0.77,0.97,21.658,26.202,24.936,23.442,22.418,21.441,20.256,19.514,19.326,0.513
1,7.53,0.17,0.43308,-1.567,3.577,4.895,9.5,0.657,1,17.436,22.2,20.938,19.459,18.373,17.168,15.899,15.226,15.007,0.433
1,7.53,0.21,0.9862,-0.222,3.731,4.524,10,0.702,0.96,14.676,17.229,16.587,15.531,14.922,14.39,13.65,13.152,13.059,0.986
1,7.53,0.31,0.06023,-2.577,3.449,4.537,10.9,0.751,0.7,21.637,29.882,27.788,25.765,24.071,21.936,19.834,19.24,18.866,0.06
1,7.55,-0.11,0.04866,-2.749,3.429,4.535,10.6,0.739,0,22.241,30.549,28.556,26.565,24.813,22.607,20.422,19.838,19.452,0.049
1,7.55,-0.05,0.0657,-2.538,3.454,4.556,11.2,0.759,0,22.315,30.316,28.169,26.136,24.51,22.478,20.556,19.946,19.597,0.066
1,7.55,0.05,0.21689,-1.973,3.51,4.609,9.8,0.686,0.75,18.978,24.875,23.29,21.557,20.318,18.828,17.364,16.74,16.442,0.162
1,7.55,0.13,0.03935,-2.909,3.404,4.505,10.7,0.743,0,22.742,31.824,29.691,27.628,25.716,23.335,20.872,20.293,19.882,0.039
1,7.55,0.21,0.1895,-2.181,3.523,4.934,10.6,0.739,0,20.822,26.793,25.201,23.455,22.205,20.697,19.223,18.594,18.295,0.189
1,7.55,0.35,0.60196,-1.161,3.615,4.782,10.2,0.717,0,17.871,22.246,20.965,19.541,18.573,17.638,16.483,15.707,15.55,0.602
1,7.57,-0.21,0.08445,-2.253,3.486,4.507,9.5,0.657,0,19.901,26.883,24.914,22.982,21.569,19.839,18.21,17.588,17.269,0.084
1,7.57,0.05,0.21118,-2.201,3.54,5.07,9.9,0.694,0,20.173,25.773,24.232,22.534,21.352,19.978,18.605,17.965,17.679,0.211
1,7.57,0.05,0.2503,-2.056,3.549,5.033,10.4,0.729,0,20.31,25.789,24.278,22.597,21.439,20.119,18.774,18.121,17.839,0.25
1,7.57,0.05,0.15844,-1.954,3.507,4.568,10.5,0.734,0,20.156,26.467,24.803,23.006,21.691,20.078,18.521,17.903,17.59,0.158
1,7.57,0.09,0.24936,-2.064,3.546,5.031,9.8,0.686,0.86,19.129,24.647,23.126,21.442,20.274,18.923,17.566,16.923,16.64,0.249
1,7.57,0.11,0.34003,-1.807,3.563,4.973,10.2,0.717,0,19.488,24.629,23.231,21.638,20.517,19.267,17.964,17.301,17.046,0.34
1,7.57,0.15,0.78343,-0.692,3.667,4.64,10.3,0.723,0,16.8,20.332,19.259,17.981,17.194,16.534,15.586,14.908,14.787,0.783
1,7.57,0.15,0.05943,-2.623,3.446,4.567,11.2,0.759,0,22.528,30.631,28.529,26.505,24.842,22.752,20.747,20.146,19.785,0.059
1,7.57,0.29,0.14682,-1.919,3.493,4.441,12,0.768,0,21.568,28.301,26.541,24.682,23.29,21.563,19.909,19.294,18.967,0.147
