,index,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog,index,_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),IRAC1(mag),dIRAC1(mag),IRAC2(mag),dIRAC2(mag),l_IRAC3( ),IRAC3(mag),dIRAC3(mag),l_IRAC4( ),IRAC4(mag),dIRAC4(mag),l_MIPS24( ),MIPS24(mag)
55,127,,296.160095,-14.802064,17.38,,16.61,,16.35,,C,0.06990611,Sibbons,7065,296.16012611,-14.80209,296.160126,-14.80209,15.99,0.04,16.01,-0.1, ,15.85,-0.29, ,15.17,-0.24, ,11.58
56,190,,296.162018,-14.82305,17.45,,16.64,,16.28,,C ,0.071264695,Sibbons,7223,296.16210889,-14.82302,296.162109,-14.82302,15.85,-0.04,15.91,-0.07, ,15.73,0.03, ,15.65,-0.37,>,12.95
57,141,,296.163086,-14.894488,16.75,,15.88,,15.44,,C,0.114423182,Sibbons,7326,296.16320806,-14.89449,296.163208,-14.89449,14.89,0.05,14.88,0.06, ,14.65,0.01, ,14.44,0.26,>,12.21
58,303,,296.163879,-14.827393,17.105,,15.991,,15.211,,C,0.070948287,Kacharov,7386,296.16397111,-14.82744,296.163971,-14.82744,14.61,-0.06,14.55,-0.05, ,14.36,-0.04, ,14.07,-0.11, ,12.01
59,273,,296.164886,-14.853178,17.217,,16.028,,15.151,,C,0.083023533,Kacharov,7466,296.16500889,-14.85327,296.165009,-14.85327,14.63,-0.02,14.7,-0.05, ,14.79,-0.14, ,14.28,-0.15, ,10.67
60,191,,296.167816,-14.842195,17.72,,16.99,,16.6,,C ,0.074223483,Sibbons,7725,296.16799889,-14.84227,296.167999,-14.84227,16.34,0.32,16.13,0.12, ,16.03,0.3, ,16.0,0.64, ,11.79
61,368,,296.16803,-14.836925,18.081,,16.862,,15.934,,C,0.071296535,Kacharov,7733,296.16806,-14.83692,296.16806,-14.83692,15.13,-0.05,15.02,-0.08, ,14.76,-0.37, ,14.26,-0.18,>,11.9
62,277,,296.168549,-14.87782,17.222,,16.157,,15.564,,C,0.097852174,Kacharov,7776,296.16864,-14.8778,296.16864,-14.8778,14.97,-0.08,15.11,-0.03, ,14.97,-0.15, ,14.6,-0.02,>,12.64
63,288,,296.170105,-14.696488,17.366,,16.439,,16.089,,C,0.121039928,Kacharov,7922,296.170135,-14.69651,296.170135,-14.69651,15.68,-0.03,15.75,-0.05, ,15.96,0.37, ,15.28,-0.78,>,13.04
64,304,,296.170105,-14.844587,17.354,,16.234,,15.509,,C,0.073683648,Kacharov,7925,296.17016611,-14.84462,296.170166,-14.84462,14.8,0.0,14.98,0.02, ,14.9,-0.04, ,14.18,0.06, ,10.95
65,125,,296.170349,-14.798781,17.4,,16.44,,15.76,,C,0.059720919,Sibbons,7946,296.17050194,-14.79877,296.170502,-14.79877,15.56,0.04,15.43,-0.03, ,15.2,-0.01, ,15.2,0.42,>,12.52
66,185,,296.171387,-14.745203,18.02,,17.23,,16.97,,C ,0.081387996,Sibbons,8013,296.17132611,-14.74525,296.171326,-14.74525,16.59,0.1,16.59,0.02, ,15.99,-0.49, ,16.36,0.0,>,12.62
67,306,,296.171783,-14.865685,17.105,,16.145,,15.625,,C,0.086528257,Kacharov,8057,296.17184389,-14.86569,296.171844,-14.86569,15.08,-0.02,15.1,-0.02, ,14.99,0.11, ,14.62,-0.13,>,12.56
68,312,,296.17276,-14.922873,16.532,,15.67,,15.261,,C,0.13403949,Kacharov,8151,296.17285194,-14.92291,296.172852,-14.92291,14.87,0.0,14.93,0.05, ,14.93,0.08, ,14.64,0.0, ,11.89
69,134,,296.173828,-14.855554,17.84,,16.97,,16.65,,C,0.077838159,Sibbons,8244,296.17388889,-14.85556,296.173889,-14.85556,16.37,-0.08,16.6,0.08, ,15.88,-0.38, ,16.41,0.0,>,12.7
70,48,10748.0,296.17438,-14.83893,18.58,,17.16,,16.11,,LPV,0.066946934,Whitelock,8291,296.17437694,-14.83888,296.174377,-14.83888,14.93,0.02,14.85,0.17, ,14.5,0.01, ,14.08,-0.21, ,9.8
71,55,12466.0,296.17462,-14.78854,18.42,,17.09,,16.03,,LPV,0.056915211,Whitelock,8311,296.17462194,-14.78841,296.174622,-14.78841,14.36,-0.07,13.95,-0.07, ,13.74,0.01, ,13.46,0.02,>,12.62
72,88,12400.0,296.17468,-14.79389,18.0,,16.75,,15.88,,C,0.055864397,Whitelock,8315,296.17465194,-14.79376,296.174652,-14.79376,15.0,0.37,14.84,0.35, ,14.87,0.34, ,14.46,0.33, ,11.36
