Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R
296.19754,-14.883656,17.866,16.778,16.2,C6.5    ,Kacharov,20.752
296.201691,-14.886331,16.685,15.619,15.007,C6.5    ,Kacharov,19.856
296.089813,-14.905375,17.896,16.855,16.316,C6.5    ,Kacharov,20.747
296.17276,-14.922873,16.532,15.67,15.261,C5.5    ,Kacharov,19.289
296.233276,-14.808039,17.538,16.688,16.465,C       ,Kacharov,19.292
296.209412,-14.569217,17.453,16.39,15.66,C       ,Kacharov,21.103
296.193878,-14.664783,18.34,17.605,17.257,C8.2 e  ,Kacharov,20.917
296.040436,-14.607334,18.163,17.085,16.646,C5.5    ,Kacharov,20.792
295.99939,-14.635953,17.817,16.896,16.458,C5.5    ,Kacharov,20.416
296.051239,-14.72685,17.414,16.397,15.734,C6.5    ,Kacharov,20.36
296.014832,-14.769041,17.05,15.886,15.051,C8.2    ,Kacharov,20.342
296.042908,-14.782191,16.913,15.97,15.401,C5.5    ,Kacharov,19.58
296.021149,-14.796692,17.356,16.289,15.713,C5.5    ,Kacharov,20.412
296.426727,-14.754023,17.422,16.423,15.825,C6.5    ,Kacharov,19.853
296.442505,-14.762609,17.138,15.998,15.096,C6.5    ,Kacharov,20.355
296.480835,-14.801933,17.491,16.674,16.423,C6.5    ,Kacharov,19.534
296.51123,-14.584842,17.755,16.79,16.308,C6.5    ,Kacharov,20.77
296.521149,-14.614511,18.27,17.226,16.797,C6.5    ,Kacharov,20.662
296.326508,-14.641376,16.649,15.697,15.114,C5.5    ,Kacharov,19.64
296.263336,-14.708953,17.071,16.053,15.567,C       ,Kacharov,20.958
296.264954,-14.715384,17.411,16.435,16.041,C6.5    ,Kacharov,20.125
296.280762,-14.726241,18.015,17.146,17.061,C6.5    ,Kacharov,19.971
296.31192,-14.728691,17.538,16.72,15.967,C6.5    ,Kacharov,20.084
296.318024,-14.739033,17.173,16.378,15.97,C5.5    ,Kacharov,19.599
296.283783,-14.741738,18.103,17.246,16.869,C5.5    ,Kacharov,20.344
296.339813,-14.745103,18.044,16.882,16.328,C6.5    ,Kacharov,19.951
296.276062,-14.751641,17.531,16.642,16.026,C6.5    ,Kacharov,20.366
296.252136,-14.757003,17.914,16.978,16.427,C5.5    ,Kacharov,19.901
296.248871,-14.764977,17.11,15.994,15.228,C8.2    ,Kacharov,21.013
296.330048,-14.767764,17.105,16.08,15.383,C6.5    ,Kacharov,20.116
296.261536,-14.769683,17.345,16.483,16.072,C5.5    ,Kacharov,19.877
296.301117,-14.779015,17.097,16.157,15.672,C6.5    ,Kacharov,19.885
296.307007,-14.784284,16.947,16.062,15.609,C5.5    ,Kacharov,19.709
296.238708,-14.806007,17.348,16.599,16.247,C6.5    ,Kacharov,19.831
296.479218,-14.974156,16.882,15.943,15.387,C5.5    ,Kacharov,19.889
296.462311,-14.852363,17.407,16.635,16.259,C5.5    ,Kacharov,19.562
296.461395,-14.854693,17.256,16.208,15.532,C6.5    ,Kacharov,20.143
296.479126,-14.883121,17.21,16.401,16.127,C5.5    ,Kacharov,19.599
296.47525,-14.898197,17.13,16.153,15.481,C5.5    ,Kacharov,19.993
296.251434,-14.798083,17.625,16.616,16.058,C5.5    ,Kacharov,20.545
296.297028,-14.802626,16.821,15.758,14.954,C6.5    ,Kacharov,20.82
296.256256,-14.807403,17.424,16.327,15.554,C6.5    ,Kacharov,20.364
296.244385,-14.810474,16.872,15.96,15.476,C5.5    ,Kacharov,21.079
296.244141,-14.813117,17.32,16.187,15.349,C8.2    ,Kacharov,20.921
296.259552,-14.815343,17.428,16.335,15.717,C6.5    ,Kacharov,20.168
296.259796,-14.82215,17.409,16.47,16.006,C5.5    ,Kacharov,19.839
296.259155,-14.832942,17.482,16.728,16.51,C5.5    ,Kacharov,19.663
296.257324,-14.837327,18.011,17.107,16.687,C5.5    ,Kacharov,20.378
296.257874,-14.842669,17.395,16.265,15.595,C6.5    ,Kacharov,20.334
296.275482,-14.853798,17.352,16.271,15.605,C6.5    ,Kacharov,20.071
296.244781,-14.845008,17.719,16.678,16.005,C5.5    ,Kacharov,20.156
296.262543,-14.847853,17.049,16.052,15.442,C5.5    ,Kacharov,21.242
296.337067,-14.850516,16.924,16.08,15.693,C5.5    ,Kacharov,19.09
296.309265,-14.868592,17.326,16.568,16.129,C5.5    ,Kacharov,19.455
296.289734,-14.876258,17.404,16.537,15.991,C5.5    ,Kacharov,20.12
296.262299,-14.882443,16.354,15.396,14.905,C5.5    ,Kacharov,19.28
