,index,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,SpType,Ref,Rmag
599,,296.205139,-14.856238,17.242,16.469,16.279,M0III   ,Kacharov,19.475
600,,296.185944,-14.858833,17.79,16.917,16.746,M2III   ,Kacharov,20.109
601,,296.223785,-14.869195,17.82,17.072,16.915,M0.5III ,Kacharov,19.977
602,,296.227081,-14.876891,17.543,16.457,15.858,C5.5    ,Kacharov,20.122
603,,296.226807,-14.881382,17.365,16.369,15.908,C       ,Kacharov,21.294
604,,295.976105,-14.796489,18.25,17.411,17.052,M1III   ,Kacharov,20.471
605,,296.043884,-14.799508,17.434,16.746,16.545,dM3.5   ,Kacharov,20.468
606,,295.962311,-14.802186,17.69,17.183,16.897,dM3.5   ,Kacharov,21.05
607,,295.960724,-14.806342,17.602,17.019,16.665,dM6 e   ,Kacharov,22.188
608,,296.035767,-14.815892,17.822,16.895,16.774,M1III   ,Kacharov,22.154
609,,295.963165,-14.819047,17.948,17.251,17.002,dM2     ,Kacharov,20.283
610,,295.977814,-14.826708,17.06,16.466,16.2,dM3     ,Kacharov,19.779
611,,296.026215,-14.832167,17.658,16.99,16.899,dM1.5   ,Kacharov,19.749
612,,296.029327,-14.837542,18.035,17.423,17.198,dM3.5   ,Kacharov,20.596
613,,295.994385,-14.840031,18.069,17.356,17.191,--      ,Kacharov,19.86
614,,295.974335,-14.842854,17.51,16.839,16.574,dM      ,Kacharov,22.364
615,,296.010468,-14.845939,18.142,17.684,17.415,dM      ,Kacharov,21.302
616,,295.98175,-14.853352,17.882,17.04,16.8,M0III   ,Kacharov,19.852
617,,296.020447,-14.855683,18.329,17.354,17.394,M0III   ,Kacharov,20.116
618,,296.024811,-14.858717,17.193,16.613,16.227,dM6 e   ,Kacharov,21.788
619,,296.051331,-14.866667,17.404,16.456,15.876,C5.5    ,Kacharov,20.285
620,,295.942688,-14.871535,17.194,16.398,16.158,M3III   ,Kacharov,22.236
621,,296.023621,-14.876556,17.214,16.658,16.33,dM2     ,Kacharov,19.508
622,,296.000641,-14.880625,17.727,17.24,16.872,dM3.5   ,Kacharov,20.357
623,,296.049103,-14.882938,18.103,17.283,17.111,M0III   ,Kacharov,20.125
624,,296.041718,-14.893066,17.482,16.884,16.529,dM4     ,Kacharov,21.246
625,,296.048126,-14.899792,17.296,16.481,15.876,C5.5    ,Kacharov,19.983
626,,296.028839,-14.902554,17.35,16.164,15.263,C8.2    ,Kacharov,22.678
627,,296.044067,-14.905341,18.504,17.75,17.381,C5.5    ,Kacharov,20.697
628,,296.027344,-14.949381,18.017,17.425,17.123,dM      ,Kacharov,21.766
629,,296.003693,-14.974893,18.392,17.56,17.21,C5.5    ,Kacharov,20.379
