Tab,Reg,f_ID,ID,n_ID,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,phT,n_phT,Dist,spT,spTK,spTD,[LDB2002],PapI,SimbadName
 , , , , ,deg,deg,mag,mag,mag, , ,kpc, , , , , ,
--,-,-,------,---,----------,----------,-----,-----,-----,-,-,-----,----,-----,-------,---,----,------------------------------
12,i, ,158986,   ,296.190338,-14.641755,17.59,16.78,16.4,M, ,1.43,C   ,C5.5 ,C      ,239,PapI,[SRC2012] 296.190338-14.641755
12,i, ,164010,   ,296.32608,-14.666169,17.58,16.8,16.51,M, ,1.38,C   ,C5.5 ,C      ,792,PapI,[SRC2012] 296.326141-14.666169
12,i, ,167230,4,296.335388,-14.681108,18.39,17.51,17.1,C,*,1.32,C   ,C5.5 ,C      ,804,PapI,[SRC2012] 296.335388-14.681108
12,i, ,170004,   ,296.110596,-14.693192,     ,16.87,     ,U,*,1.41,C   ,dK7  ,K0IV   ,80,PapI,[LDB2002]   80
12,i, ,172060,   ,296.196411,-14.702325,17.75,16.37,15.1,C,*,0.93,dK  ,dK7  ,K0IV   ,258,PapI,[LDB2002]  258
12,i, ,173378,   ,296.099152,-14.708244,17.48,16.63,16.27,C,*,1.4,C   ,C5.5 ,C      ,64,PapI,[SRC2012] 296.099152-14.708244
12,i, ,174035,   ,296.374054,-14.711063,17.55,16.85,16.52,M,*,1.38,C   ,C    ,C      ,845,PapI,[LDB2002]  845
12,i, ,174226,   ,296.075775,-14.711885,18.14,17.39,17.1,M, ,1.55,C   ,C    ,C      ,42,PapI,[SRC2012] 296.075775-14.711885
12,i, ,174472,   ,296.341431,-14.712852,17.32,16.39,15.85,C,*,1.16,C   ,C5.5 ,C      ,814,PapI,[SRC2012] 296.341431-14.712852
12,i, ,178893,   ,296.110779,-14.725801,17.15,16.18,15.45,C,*,1.24,C   ,C6.5 ,C      ,82,PapI,[SRC2012] 296.110779-14.725800
12,i, ,183391,   ,296.08786,-14.740214,17.23,18.14,15.9,C,*,1.35,C   ,C6.5 ,C      ,53,PapI,[SRC2012] 296.087952-14.740217
12,i, ,184858,4,296.171387,-14.745203,18.02,17.23,16.97,M, ,0.74,C   ,dK7  ,K4III  ,181,PapI,[SRC2012] 296.171234-14.745203
12,i, ,186954,   ,296.469086,-14.752255,     ,17.74,16.28,U,*,1.96,dK  ,dK   ,K2V    ,887,PapI,[SRC2012] 296.469177-14.752258
12,i, ,190283,   ,296.342804,-14.764064,18.2,17.41,17.02,M, ,0.93,C   ,C5.5 ,C      ,815,PapI,[SRC2012] 296.342804-14.764064
12,i, ,191195,   ,296.106384,-14.767224,17.62,16.8,16.58,M, ,1.13,C   ,C5.5 ,S      ,72,PapI,[SRC2012] 296.106232-14.767224
12,i, ,191382,   ,296.304626,-14.767883,17.76,17.03,16.59,M,*,0.63,C   ,C    ,K0III  ,759,PapI,[SRC2012] 296.304626-14.767883
12,i, ,192177,   ,296.333038,-14.770712,18.24,17.51,17.25,M, ,0.84,C   ,C3.2 ,C      ,803,PapI,[SRC2012] 296.333191-14.770717
12,i, ,207096,   ,296.162018,-14.82305,17.45,16.64,16.28,M, ,0.65,C   ,C5.5 ,C      ,154,PapI,[SRC2012] 296.162018-14.823047
12,i, ,212351,   ,296.167816,-14.842195,17.72,16.99,16.6,M, ,0.67,C   ,C    ,K0III  ,169,PapI,[SRC2012] 296.167969-14.842195
12,i, ,212970,   ,296.066071,-14.844581,17.44,16.78,16.3,M,*,1.46,C   ,C5.5 ,C      ,34,PapI,[LDB2002]   34
12,i, ,218420,   ,296.364624,-14.865284,17.45,16.57,16.19,C,*,1.18,C   ,C3.2 ,C      ,836,PapI,[SRC2012] 296.364624-14.865281
12,i, ,219598,   ,296.297241,-14.869897,17.49,16.7,16.21,C,*,0.76,C   ,C5.5 ,C      ,747,PapI,[SRC2012] 296.297241-14.869897
12,i, ,226097,4,296.207458,-14.896397,17.39,16.58,16.2,M, ,0.84,C   ,C5.5 ,C      ,308,PapI,[SRC2012] 296.207458-14.896397
12,i, ,229856,   ,296.368011,-14.913227,16.96,15.87,15.15,C,*,1.43,C   ,C5.5 ,S      ,839,PapI,[SRC2012] 296.368103-14.913227
12,i, ,237395,   ,296.070709,-14.94352,     ,18.45,     ,U,*,1.83,C   ,dK   ,K0III  ,37,PapI,[LDB2002]   37
12,i, ,237999,   ,296.08905,-14.945495,18.64,     ,15.9,C,*,1.73,C   ,C5.5 ,C      ,54,PapI,[LDB2002]   54
12,i, ,240673,   ,296.06134,-14.955141,18.23,17.2,17.1,M,*,1.95,C   ,C5.5 ,C      ,31,PapI,[SRC2012] 296.061340-14.955141
12,i, ,250173,   ,296.215485,-14.99597,     ,18.06,16.76,U,*,1.66,C   ,C5.5 ,K0V    ,342,PapI,[SRC2012] 296.215393-14.995970
