Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.436554,-14.743853,17.25,16.68,16.49,C   ,Sibbons,89.99,0.7600000000000016,0.19268000000000018,1.5584038053244036,9.180149359999998,1514081873.0250542,5.277284219289591,189358.24476232735
296.485382,-14.756809,16.54,15.93,15.56,C:  ,Sibbons,89.99,0.9799999999999986,0.33008999999999955,2.1384051909804933,8.80941718,644788346.9424392,5.330724437254069,214153.13540097832
296.131714,-14.759347,17.17,16.47,16.11,Ce  ,Sibbons,89.99,1.0600000000000023,0.24566,1.7605971723030485,9.037209319999999,1089455059.215228,5.352681217480483,225258.51538788574
296.112915,-14.776258,17.150000000000002,16.46,15.764879999999998,C   ,Sibbons,89.99,1.0759999999999987,0.29300672000000016,1.9633906568746775,8.909467869439998,811835184.4284502,5.343900090401291,220749.68391742717
296.152313,-14.788395,16.94,16.3,15.91,Ce  ,Sibbons,89.99,1.0300000000000011,0.26673999999999976,1.8481618447362766,8.98033548,955730575.3363011,5.352941150519713,225393.37700530046
296.283356,-14.789384,17.27,16.75,16.38,C   ,Sibbons,89.99,0.8900000000000006,0.21893000000000007,1.655503106389774,9.10932686,1286254360.3096423,5.331361655359236,214467.58198474738
296.374786,-14.798067,17.53,16.79,16.48,C   ,Sibbons,89.99,1.0500000000000007,0.19500999999999968,1.5667871463000735,9.17386302,1492323644.367053,5.283530798477213,192101.51878546982
296.170349,-14.798781,17.2,16.44,15.525079999999999,Ce  ,Sibbons,89.99,1.0759999999999987,0.3364105199999998,2.1697541115416237,8.79236441704,619961066.9858427,5.329379628035407,213491.02780185395
296.073059,-14.801702,17.42,16.74,16.39,C   ,Sibbons,89.99,1.0300000000000011,0.2179399999999999,1.6517335870370005,9.111997879999999,1294189523.873772,5.3299656437097225,213779.29656843204
296.160095,-14.802064,17.18,16.61,16.28,C   ,Sibbons,89.99,0.8999999999999986,0.22882999999999987,1.6936746995542173,9.08261666,1209530042.7577925,5.342755353949489,220168.58636144132
296.338257,-14.808908,17.21,16.5,15.921479999999999,C:  ,Sibbons,89.99,1.0759999999999987,0.2646621199999999,1.8393404424903599,8.98594160024,968147660.2882797,5.353339153608604,225600.03028330358
296.100708,-14.828527,16.52,15.96,15.57,C   ,Sibbons,89.99,0.9499999999999993,0.3282799999999997,2.1295115503263617,8.81430056,652079519.3354409,5.331171318924906,214373.60876469113
296.129822,-14.832311,17.36,16.74,16.419999999999998,C   ,Sibbons,89.99,0.9400000000000013,0.20899000000000023,1.6180427804022688,9.13614498,1368185489.0698082,5.315099183333152,206585.18971983847
296.084503,-14.832314,17.3,16.6,16.02528,C:  ,Sibbons,89.99,1.0759999999999987,0.2540472800000001,1.7949290233399713,9.01458043856,1034142623.6560526,5.354066934443178,225978.40263843557
296.434357,-14.834667,17.28,16.72,16.25,C:  ,Sibbons,89.99,1.0300000000000011,0.2318,1.7052968899095884,9.0746036,1187417923.2130673,5.345312778554475,221468.91528162503
