Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
 , ,deg,deg,deg,mag,mag,mag,mag, , , , ,
--,------,----------,----------,--------,------,------,------,------,---,--------,-,-,------
sp,90158,296.021149,-14.796692,0.219544,20.412,17.356,16.289,15.713,C  ,C5.5    ,5,1,Simbad
sp,90520,296.043915,-14.799509,0.196714,20.082,17.434,16.746,16.545,M  ,dM3.5   ,5,2,Simbad
sp,91028,296.021088,-14.803503,0.219502,18.917,17.093,16.428,16.264,M  ,dM1.5   ,5,1,Simbad
sp,91442,296.017029,-14.806444,0.223581,20.304,17.862,17.239,17.061,M  ,dM3     ,5,1,Simbad
sp,80256,296.43103,-14.711975,0.211261,19.278,17.788,17.089,16.928,M  ,dM      ,4,1,Simbad
sp,80997,296.419373,-14.720345,0.197146,20.442,17.697,17.084,16.839,M  ,--      ,4,1,Simbad
sp,81226,296.486694,-14.722583,0.259043,19.929,17.48,16.85,16.665,M  ,--      ,4,1,Simbad
sp,81582,296.44931,-14.725839,0.222675,19.853,17.417,16.477,16.316,M  ,M       ,4,1,Simbad
sp,82227,296.419983,-14.731664,0.193215,23.406,17.538,16.69,16.5,M  ,M0III   ,4,1,Simbad
sp,82894,296.276184,-14.73748,0.074942,21.001,17.378,17.327,16.362,M  ,--      ,4,1,Simbad
sp,83291,296.484985,-14.741018,0.252238,20.868,17.769,17.215,16.86,M  ,--      ,4,1,Simbad
sp,83620,296.412872,-14.74398,0.182251,21.161,18.142,17.528,17.187,M  ,--      ,4,1,Simbad
sp,84497,296.522186,-14.751385,0.286365,19.041,16.181,15.583,15.298,M  ,dM4     ,5,1,Simbad
sp,84810,296.426727,-14.754023,0.192582,19.853,17.422,16.423,15.825,C  ,C6.5    ,5,1,Simbad
sp,85162,296.485504,-14.756813,0.249311,18.674,16.735,15.932,15.627,M  ,C8.2    ,5,1,Simbad
sp,85886,296.442505,-14.762609,0.206,20.355,17.138,15.998,15.096,C  ,C6.5    ,5,1,Simbad
sp,86205,296.499451,-14.765201,0.261669,23.605,18.201,17.579,17.225,M  ,#NAME?,4,1,Simbad
sp,86700,296.433807,-14.769137,0.196237,23.668,17.658,17.03,16.882,M  ,dM3     ,5,1,Simbad
sp,87313,296.408356,-14.774137,0.170304,19.583,18.124,17.407,17.179,M  ,M       ,4,1,Simbad
sp,89698,296.509125,-14.792881,0.268742,20.16,16.943,16.331,16.043,M  ,dM      ,5,1,Simbad
sp,90095,296.442902,-14.796197,0.202441,23.183,17.512,16.647,16.456,M  ,M2III   ,5,1,Simbad
sp,90841,296.480835,-14.801933,0.24025,19.534,17.491,16.674,16.423,M  ,C6.5    ,5,1,Simbad
sp,91572,296.4646,-14.807542,0.224048,20.002,17.144,16.231,15.567,C  ,--      ,4,1,Simbad
