Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
247,,296.38,-14.75,17.15,,,,15.63,,C
248,,296.40,-14.74,17.50,,,,15.91,,C
249,,296.40,-14.87,17.21,,,,15.71,,C
250,,296.41,-14.80,17.37,,,,15.43,,C
251,,296.41,-14.85,17.29,,,,15.67,,C
252,,296.42,-14.75,17.53,,,,15.98,,C
253,,296.43,-14.75,17.49,,,,15.97,,C
254,,296.43,-14.76,17.48,,,,15.81,,C
255,,296.44,-14.90,17.60,,,,15.88,,C
256,,296.44,-14.76,17.17,,,,15.29,,C
257,,296.46,-14.85,17.42,,,,15.62,,C
258,,296.48,-14.90,17.27,,,,15.74,,C
259,,296.48,-14.70,16.71,,,,15.13,,C
260,,296.52,-14.84,17.62,,,,15.75,,C
261,,296.55,-14.90,17.42,,,,15.51,,C
262,,296.34,-14.85,16.92,,16.08,,15.69,,C  
263,,296.31,-14.86,17.45,,16.28,,15.49,,C  
264,,296.29,-14.88,17.40,,16.54,,15.99,,C  
265,,296.32,-14.68,17.44,,16.60,,16.18,,C  
266,,296.34,-14.75,17.44,,16.53,,16.13,,C  
267,,296.36,-14.76,16.53,,15.57,,14.99,,C  
268,,296.31,-14.78,17.39,,16.36,,15.67,,C  
269,,296.19,-14.68,17.49,,16.50,,16.07,,C  
270,,296.18,-14.72,17.44,,16.46,,16.04,,C  
271,,296.14,-14.72,17.23,,16.19,,15.54,,C  
272,,296.20,-14.76,17.18,,16.26,,15.54,,C  
273,,296.21,-14.77,17.03,,16.20,,15.76,,C  
274,,296.20,-14.78,18.41,,17.42,,17.20,,C  
275,,296.18,-14.83,17.23,,16.37,,15.90,,C  
276,,296.21,-14.83,17.27,,16.34,,16.04,,C  
277,,296.19,-14.84,17.01,,16.11,,15.57,,C  
278,,296.20,-14.85,17.18,,16.17,,15.58,,C  
279,,296.16,-14.85,17.22,,16.03,,15.15,,C  
