Id-main,Ra(J2000) deg,Dec(J2000) deg,J,Ks,Types,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
11032.0,296.18048,-14.80431,18.0,15.57322,LPV,1.3490000000000002,0.2544890999999998,1.796755984306941,9.0392924272,1094693217.2706482,6.017490870752552,1041096.2226459202
10748.0,296.17438,-14.83893,18.38,15.663419999999999,LPV,1.3490000000000002,0.2233700999999999,1.672515302542428,9.120450779199999,1319625743.341953,5.998216238061464,995901.1596220741
12208.0,296.23352,-14.80653,17.67,15.257019999999997,LPV,1.3490000000000002,0.36357810000000024,2.309819800845946,8.754788315199999,568575726.823091,5.40611428993297,254750.05704789984
21419.0,296.27563,-14.74923,19.73,15.78522,LPV,1.3490000000000002,0.20091509999999993,1.5882362347809234,9.1790134192,1510126814.6250134,5.913737090830272,819855.0778007631
13364.0,296.19489,-14.82267,17.900000000000002,15.500819999999997,LPV,1.3490000000000002,0.2794671000000002,1.9031240608578146,8.9741498032,942214542.8877834,5.9491894221502655,889589.0369597275
20239.0,296.22632,-14.72554,17.84,15.24762,LPV,1.3490000000000002,0.3668210999999997,2.3271324387734253,8.7463305712,557610022.5221865,5.384267654262738,242252.1578859787
20558.0,296.19647,-14.70265,18.01,14.70002,LPV,1.3490000000000002,0.5472469799999997,3.5257131869331317,8.3093985433,203891228.81934467,5.059918636987246,114793.85405056429
20840.0,296.30347,-14.74166,18.5,15.43842,LPV,1.3490000000000002,0.3009950999999993,1.9998393059845978,8.9180047792,827951274.8641584,5.840081910860014,691961.4671986197
12466.0,296.17462,-14.78854,18.220000000000002,15.61382,LPV,1.3490000000000002,0.24048209999999948,1.7397309913327825,9.0758226832,1190755738.652814,6.023534468633899,1055685.2864257134
40114.0,296.19916,-14.8616,20.01,16.258419999999997,LPV,1.3490000000000002,0.16737276000000023,1.4701876153687892,9.266491841919999,1847106097.2989445,5.703098483502789,504775.75088966166
11059.0,296.21259,-14.80142,18.18,15.297819999999998,LPV,1.3490000000000002,0.34950210000000004,2.2361560114693244,8.7914985232,618726223.597327,5.504904039061562,319818.83655849943
11296.0,296.21729,-14.77647,18.17,15.287819999999998,LPV,1.3490000000000002,0.3529521,2.253990597195704,8.782500923199999,606039488.8120527,5.480218284652816,302146.9987001182
30928.0,296.22229,-14.90997,18.75,15.757420000000002,LPV,1.3490000000000002,0.20216609999999988,1.5928177986851881,9.1757508112,1498824595.5297947,5.9198334528976755,831444.8601030657
13106.0,296.24048,-14.84939,18.900000000000002,15.25882,LPV,1.3490000000000002,0.3629570999999996,2.3065193374094277,8.7564078832,570700013.9963773,5.410344318618507,257243.4459502356
11305.0,296.17957,-14.77527,17.82,14.965419999999998,LPV,1.3490000000000002,0.46554132000000026,2.9210656653998512,8.5067177122,321157236.4748519,5.048795570410539,111891.1069556137
30920.0,296.24246,-14.91158,18.75,15.177819999999999,LPV,1.3490000000000002,0.3903517200000004,2.4566977042996085,8.6883005962,487866048.94013065,5.244719505734871,175678.8604618601
11140.0,296.22876,-14.79337,18.55,15.35042,LPV,1.3490000000000002,0.3313550999999997,2.144643447770637,8.8388258992,689963154.6470906,5.636407434928067,432919.78583326965
20439.0,296.2464,-14.73473,18.95,14.97762,LPV,1.3490000000000002,0.46122251999999975,2.892161363088125,8.5171476142,328963424.6544927,5.050616506114545,112361.235538796
10753.0,296.24295,-14.83836,18.2,15.414420000000002,LPV,1.3490000000000002,0.3092750999999989,2.0383328327660464,8.896410539200001,787790136.9758779,5.788774012758008,614856.8457087281
40520.0,296.26687,-14.74039,18.21,14.90002,LPV,1.3490000000000002,0.4886929200000001,3.081008666955159,8.4508065982,282362226.78430617,5.05033446007758,112288.28790970107
31168.0,296.23883,-14.87026,19.29,14.91742,LPV,1.3490000000000002,0.48253331999999993,3.037619135632495,8.4656820322,292201224.93137825,5.048480927436068,111810.07207695674
21671.0,296.26569,-14.72024,19.580000000000002,15.27642,LPV,1.3490000000000002,0.3568850999999995,2.274495594624763,8.7722436592,591893620.6098745,5.452401935119008,283401.3633211407
